ds,symbol,close,volume
2014-10-02,W,37.72,16000861.0
2014-10-03,W,32.18,4069872.0
2014-10-06,W,32.8,803150.0
2014-10-07,W,32.82,937819.0
2014-10-08,W,31.05,1020395.0
2014-10-09,W,26.71,1775171.0
2014-10-10,W,25.87,1337944.0
2014-10-13,W,26.41,479479.0
2014-10-14,W,26.18,801107.0
2014-10-15,W,24.67,1361555.0
2014-10-16,W,23.89,620999.0
2014-10-17,W,26.87,801636.0
2014-10-20,W,30.02,684140.0
2014-10-21,W,30.89,942084.0
2014-10-22,W,27.9,952710.0
2014-10-23,W,26.01,946339.0
2014-10-24,W,25.16,1006040.0
2014-10-27,W,26.05,1539228.0
2014-10-28,W,25.69,379148.0
2014-10-29,W,25.06,341867.0
2014-10-30,W,24.4,758545.0
2014-10-31,W,25.1,827378.0
2014-11-03,W,25.72,1020917.0
2014-11-04,W,26.03,387777.0
2014-11-05,W,25.44,420738.0
2014-11-06,W,25.7,313854.0
2014-11-07,W,26.01,451641.0
2014-11-10,W,28.1,616465.0
2014-11-11,W,23.66,2331713.0
2014-11-12,W,21.31,1660051.0
2014-11-13,W,22.01,1144086.0
2014-11-14,W,21.57,826419.0
2014-11-17,W,21.57,554289.0
2014-11-18,W,22.08,484047.0
2014-11-19,W,22.29,713747.0
2014-11-20,W,23.0,457552.0
2014-11-21,W,22.28,654254.0
2014-11-24,W,23.0,189980.0
2014-11-25,W,23.27,456617.0
2014-11-26,W,23.9,166437.0
2014-11-28,W,24.26,137026.0
2014-12-01,W,23.01,426039.0
2014-12-02,W,22.05,803474.0
2014-12-03,W,21.15,320956.0
2014-12-04,W,20.9,876955.0
2014-12-05,W,20.73,617534.0
2014-12-08,W,21.1,407314.0
2014-12-09,W,21.0,345462.0
2014-12-10,W,20.13,418481.0
2014-12-11,W,19.38,748838.0
2014-12-12,W,18.44,2432536.0
2014-12-15,W,19.16,876789.0
2014-12-16,W,18.4,462677.0
2014-12-17,W,20.71,949352.0
2014-12-18,W,20.81,868053.0
2014-12-19,W,20.06,2301565.0
2014-12-22,W,20.38,946364.0
2014-12-23,W,20.79,531744.0
2014-12-24,W,20.44,172827.0
2014-12-26,W,20.31,144290.0
2014-12-29,W,19.44,429758.0
2014-12-30,W,19.54,637489.0
2014-12-31,W,19.85,426112.0
2015-01-02,W,20.78,325312
2015-01-05,W,22.02,596782
2015-01-06,W,22.6,1012159
2015-01-07,W,22.34,899242
2015-01-08,W,21.4,694153
2015-01-09,W,20.9,859720
2015-01-12,W,21.82,876108
2015-01-13,W,22.21,660873
2015-01-14,W,22.22,1027003
2015-01-15,W,23.28,1500905
2015-01-16,W,22.5,512673
2015-01-20,W,21.35,657047
2015-01-21,W,21.21,433345
2015-01-22,W,20.52,722137
2015-01-23,W,20.45,674695
2015-01-26,W,20.11,519086
2015-01-27,W,20.0,652524
2015-01-28,W,19.34,396078
2015-01-29,W,19.12,513717
2015-01-30,W,19.56,570544
2015-02-02,W,20.09,335413
2015-02-03,W,21.32,441262
2015-02-04,W,21.04,276295
2015-02-05,W,21.87,816214
2015-02-06,W,21.4,506534
2015-02-09,W,21.17,235058
2015-02-10,W,21.46,476135
2015-02-11,W,22.0,510675
2015-02-12,W,22.97,1242766
2015-02-13,W,21.96,412023
2015-02-17,W,22.18,575876
2015-02-18,W,22.28,401257
2015-02-19,W,23.45,682987
2015-02-20,W,24.53,1025350
2015-02-23,W,24.43,1086077
2015-02-24,W,24.12,359562
2015-02-25,W,23.67,447662
2015-02-26,W,23.5,384341
2015-02-27,W,23.35,345566
2015-03-02,W,23.56,769588
2015-03-03,W,25.25,1707283
2015-03-04,W,28.9,5394970
2015-03-05,W,27.78,1373105
2015-03-06,W,28.81,1680054
2015-03-09,W,29.04,579703
2015-03-10,W,28.26,620097
2015-03-11,W,28.57,539326
2015-03-12,W,29.87,598586
2015-03-13,W,32.45,2756186
2015-03-16,W,32.48,1162370
2015-03-17,W,30.85,630857
2015-03-18,W,31.26,589750
2015-03-19,W,33.07,756015
2015-03-20,W,31.94,1400402
2015-03-23,W,32.22,554761
2015-03-24,W,31.4,790977
2015-03-25,W,30.87,732318
2015-03-26,W,31.25,317305
2015-03-27,W,32.33,454350
2015-03-30,W,33.46,323829
2015-03-31,W,32.12,1017107
2015-04-01,W,31.36,895532
2015-04-02,W,30.81,358536
2015-04-06,W,31.56,773392
2015-04-07,W,31.74,629262
2015-04-08,W,32.92,1154791
2015-04-09,W,32.78,323125
2015-04-10,W,33.72,1069303
2015-04-13,W,34.15,919551
2015-04-14,W,34.06,523558
2015-04-15,W,33.79,305584
2015-04-16,W,34.53,459923
2015-04-17,W,32.07,725278
2015-04-20,W,32.15,639608
2015-04-21,W,32.6,355340
2015-04-22,W,32.32,359268
2015-04-23,W,33.07,253351
2015-04-24,W,32.74,487769
2015-04-27,W,33.84,656508
2015-04-28,W,32.96,816298
2015-04-29,W,33.1,542345
2015-04-30,W,32.12,697955
2015-05-01,W,30.03,1305093
2015-05-04,W,29.56,970182
2015-05-05,W,29.33,314126
2015-05-06,W,27.76,1090056
2015-05-07,W,28.55,682848
2015-05-08,W,30.78,2409963
2015-05-11,W,30.01,4248397
2015-05-12,W,29.99,1691570
2015-05-13,W,28.8,989372
2015-05-14,W,28.51,769610
2015-05-15,W,29.05,1107562
2015-05-18,W,28.32,925948
2015-05-19,W,28.65,532975
2015-05-20,W,28.34,841915
2015-05-21,W,29.95,1406008
2015-05-22,W,30.89,551966
2015-05-26,W,29.65,599521
2015-05-27,W,29.52,428403
2015-05-28,W,29.18,481210
2015-05-29,W,29.89,624012
2015-06-01,W,28.81,940589
2015-06-02,W,29.26,555024
2015-06-03,W,30.74,730370
2015-06-04,W,30.64,470036
2015-06-05,W,33.06,920853
2015-06-08,W,33.55,544239
2015-06-09,W,33.71,453275
2015-06-10,W,34.07,1144602
2015-06-11,W,34.09,507666
2015-06-12,W,34.18,535101
2015-06-15,W,33.16,816369
2015-06-16,W,34.28,601042
2015-06-17,W,34.81,962055
2015-06-18,W,37.53,2092441
2015-06-19,W,37.97,1177285
2015-06-22,W,38.79,839071
2015-06-23,W,37.94,610185
2015-06-24,W,37.36,272076
2015-06-25,W,37.24,1031351
2015-06-26,W,38.18,1173719
2015-06-29,W,36.79,499973
2015-06-30,W,37.64,530105
2015-07-01,W,37.98,710617
2015-07-02,W,37.7,696048
2015-07-06,W,36.9,364435
2015-07-07,W,37.01,302259
2015-07-08,W,35.45,308233
2015-07-09,W,36.32,663645
2015-07-10,W,37.35,978198
2015-07-13,W,38.15,474545
2015-07-14,W,38.13,583834
2015-07-15,W,37.14,381358
2015-07-16,W,37.23,711524
2015-07-17,W,38.98,921613
2015-07-20,W,39.64,613267
2015-07-21,W,38.87,387909
2015-07-22,W,38.02,956766
2015-07-23,W,38.81,489759
2015-07-24,W,39.28,498541
2015-07-27,W,37.16,444295
2015-07-28,W,37.86,483043
2015-07-29,W,37.74,444118
2015-07-30,W,37.09,291398
2015-07-31,W,37.31,559748
2015-08-03,W,36.76,582759
2015-08-04,W,38.78,1002078
2015-08-05,W,39.57,470648
2015-08-06,W,37.15,697375
2015-08-07,W,36.52,759002
2015-08-10,W,38.13,1566402
2015-08-11,W,38.17,1596581
2015-08-12,W,48.95,7212012
2015-08-13,W,53.58,6591499
2015-08-14,W,49.53,3534539
2015-08-17,W,50.39,1819320
2015-08-18,W,45.11,5630696
2015-08-19,W,43.89,1997757
2015-08-20,W,43.22,1496796
2015-08-21,W,43.83,1329673
2015-08-24,W,40.97,1471625
2015-08-25,W,42.32,1449628
2015-08-26,W,43.05,1256534
2015-08-27,W,41.74,990092
2015-08-28,W,42.22,741435
2015-08-31,W,37.3,3694595
2015-09-01,W,36.45,3140500
2015-09-02,W,36.27,1993878
2015-09-03,W,34.91,1030211
2015-09-04,W,35.21,1124554
2015-09-08,W,37.59,1893330
2015-09-09,W,36.88,1649610
2015-09-10,W,35.36,1142717
2015-09-11,W,33.05,1837204
2015-09-14,W,32.58,1243166
2015-09-15,W,32.75,1186036
2015-09-16,W,33.56,1372388
2015-09-17,W,33.8,628973
2015-09-18,W,34.14,1412946
2015-09-21,W,33.99,676004
2015-09-22,W,34.53,1054944
2015-09-23,W,35.65,682783
2015-09-24,W,35.17,764545
2015-09-25,W,36.0,834071
2015-09-28,W,36.32,655751
2015-09-29,W,34.17,585477
2015-09-30,W,35.06,440470
2015-10-01,W,35.85,1993404
2015-10-02,W,36.18,424194
2015-10-05,W,38.1,1200480
2015-10-06,W,39.35,1322176
2015-10-07,W,38.26,853561
2015-10-08,W,39.45,616757
2015-10-09,W,39.07,606603
2015-10-12,W,38.41,709190
2015-10-13,W,38.79,479545
2015-10-14,W,39.57,757264
2015-10-15,W,40.79,597104
2015-10-16,W,42.48,1238822
2015-10-19,W,44.91,1218586
2015-10-20,W,45.38,1605322
2015-10-21,W,44.96,935578
2015-10-22,W,44.06,778582
2015-10-23,W,41.27,737393
2015-10-26,W,40.79,539969
2015-10-27,W,41.65,697494
2015-10-28,W,43.13,540958
2015-10-29,W,42.94,1159482
2015-10-30,W,42.27,607607
2015-11-02,W,43.6,887461
2015-11-03,W,45.14,1215474
2015-11-04,W,44.51,724388
2015-11-05,W,43.33,785037
2015-11-06,W,44.12,1154917
2015-11-09,W,45.84,2604333
2015-11-10,W,39.43,7939355
2015-11-11,W,41.57,3141734
2015-11-12,W,38.91,1832591
2015-11-13,W,36.52,1668571
2015-11-16,W,37.28,1358089
2015-11-17,W,35.8,1997946
2015-11-18,W,35.78,1434979
2015-11-19,W,35.51,828842
2015-11-20,W,37.28,936892
2015-11-23,W,39.69,1301108
2015-11-24,W,38.12,836406
2015-11-25,W,38.05,349005
2015-11-27,W,38.16,393625
2015-11-30,W,37.91,1359280
2015-12-01,W,37.93,1409259
2015-12-02,W,41.83,3160583
2015-12-03,W,41.03,936660
2015-12-04,W,42.48,544227
2015-12-07,W,44.75,1533466
2015-12-08,W,45.89,757906
2015-12-09,W,45.2,1335636
2015-12-10,W,47.2,689326
2015-12-11,W,44.73,465631
2015-12-14,W,46.25,723990
2015-12-15,W,45.95,757776
2015-12-16,W,47.12,1071628
2015-12-17,W,46.87,478082
2015-12-18,W,48.38,1486123
2015-12-21,W,47.98,1001545
2015-12-22,W,48.45,524443
2015-12-23,W,49.57,628607
2015-12-24,W,47.92,232097
2015-12-28,W,48.77,484786
2015-12-29,W,49.45,494780
2015-12-30,W,48.93,486109
2015-12-31,W,47.62,761164
2016-01-04,W,44.19,1051964
2016-01-05,W,43.46,821306
2016-01-06,W,42.96,984060
2016-01-07,W,41.5,994861
2016-01-08,W,42.15,498581
2016-01-11,W,41.32,468400
2016-01-12,W,43.95,997781
2016-01-13,W,41.22,835352
2016-01-14,W,40.03,1291362
2016-01-15,W,37.81,996969
2016-01-19,W,38.4,579726
2016-01-20,W,42.14,2278897
2016-01-21,W,41.81,887503
2016-01-22,W,44.19,707484
2016-01-25,W,45.03,1159496
2016-01-26,W,45.35,677491
2016-01-27,W,44.11,822716
2016-01-28,W,44.43,823233
2016-01-29,W,45.2,1039292
2016-02-01,W,43.47,1206510
2016-02-02,W,41.1,1040123
2016-02-03,W,40.25,686310
2016-02-04,W,42.31,877174
2016-02-05,W,40.32,2884804
2016-02-08,W,33.99,3279426
2016-02-09,W,31.89,3447342
2016-02-10,W,34.48,1533397
2016-02-11,W,34.28,720809
2016-02-12,W,35.91,744311
2016-02-16,W,38.57,1298878
2016-02-17,W,39.31,1211594
2016-02-18,W,38.33,800354
2016-02-19,W,39.56,666335
2016-02-22,W,40.14,1129813
2016-02-23,W,40.91,910301
2016-02-24,W,40.47,2045679
2016-02-25,W,44.77,5083590
2016-02-26,W,41.29,1994814
2016-02-29,W,38.97,1023149
2016-03-01,W,40.23,1172607
2016-03-02,W,43.95,1796788
2016-03-03,W,45.43,1574578
2016-03-04,W,44.73,982564
2016-03-07,W,44.09,916250
2016-03-08,W,43.75,679889
2016-03-09,W,43.63,801544
2016-03-10,W,43.8,691783
2016-03-11,W,45.15,575082
2016-03-14,W,42.87,965632
2016-03-15,W,42.36,741717
2016-03-16,W,44.1,1137313
2016-03-17,W,44.91,535097
2016-03-18,W,41.71,1578179
2016-03-21,W,38.06,3322128
2016-03-22,W,39.94,2089366
2016-03-23,W,39.33,871436
2016-03-24,W,40.29,754241
2016-03-28,W,40.8,591753
2016-03-29,W,43.33,876842
2016-03-30,W,40.78,945394
2016-03-31,W,43.22,1533551
2016-04-01,W,43.96,1299416
2016-04-04,W,42.42,729585
2016-04-05,W,41.76,717947
2016-04-06,W,42.17,810835
2016-04-07,W,42.19,843360
2016-04-08,W,40.41,1396805
2016-04-11,W,39.88,1060912
2016-04-12,W,40.99,494327
2016-04-13,W,42.0,518181
2016-04-14,W,41.34,775207
2016-04-15,W,42.4,410079
2016-04-18,W,40.79,915491
2016-04-19,W,41.2,809276
2016-04-20,W,42.13,695814
2016-04-21,W,40.5,391698
2016-04-22,W,40.56,566109
2016-04-25,W,39.18,999946
2016-04-26,W,38.54,982756
2016-04-27,W,38.96,724343
2016-04-28,W,38.0,589032
2016-04-29,W,37.75,717030
2016-05-02,W,35.61,2105077
2016-05-03,W,36.04,1209537
2016-05-04,W,35.8,1011100
2016-05-05,W,36.06,1123744
2016-05-06,W,35.99,2026085
2016-05-09,W,39.65,5079535
2016-05-10,W,38.7,2563700
2016-05-11,W,38.28,812846
2016-05-12,W,37.84,891916
2016-05-13,W,38.62,622662
2016-05-16,W,38.82,646775
2016-05-17,W,39.83,1238506
2016-05-18,W,40.13,787276
2016-05-19,W,40.0,685011
2016-05-20,W,40.48,884499
2016-05-23,W,40.89,824729
2016-05-24,W,39.75,2600627
2016-05-25,W,40.36,1311706
2016-05-26,W,40.13,741385
2016-05-27,W,40.8,584077
2016-05-31,W,41.18,1190966
2016-06-01,W,40.64,825445
2016-06-02,W,41.49,763206
2016-06-03,W,42.04,671146
2016-06-06,W,40.99,740445
2016-06-07,W,41.97,662858
2016-06-08,W,42.94,792498
2016-06-09,W,40.18,1998117
2016-06-10,W,38.01,1411608
2016-06-13,W,38.0,1512713
2016-06-14,W,37.09,1101653
2016-06-15,W,38.26,1370814
2016-06-16,W,38.48,1170591
2016-06-17,W,39.15,1046204
2016-06-20,W,40.23,915513
2016-06-21,W,41.26,1171619
2016-06-22,W,41.67,1361430
2016-06-23,W,42.74,1533698
2016-06-24,W,40.25,2767209
2016-06-27,W,38.84,1835825
2016-06-28,W,38.5,911031
2016-06-29,W,39.15,1079467
2016-06-30,W,39.0,697060
2016-07-01,W,38.06,927934
2016-07-05,W,38.99,1223485
2016-07-06,W,39.93,918596
2016-07-07,W,40.21,1058537
2016-07-08,W,40.47,829439
2016-07-11,W,40.45,763542
2016-07-12,W,41.42,762828
2016-07-13,W,40.51,474968
2016-07-14,W,39.09,682907
2016-07-15,W,38.79,458356
2016-07-18,W,40.22,1308792
2016-07-19,W,39.43,571548
2016-07-20,W,40.2,839384
2016-07-21,W,39.38,768039
2016-07-22,W,39.91,655109
2016-07-25,W,39.48,549593
2016-07-26,W,40.3,813860
2016-07-27,W,40.25,384887
2016-07-28,W,42.77,1542902
2016-07-29,W,43.5,825318
2016-08-01,W,44.34,1177480
2016-08-02,W,46.45,2449338
2016-08-03,W,47.69,2337987
2016-08-04,W,47.55,1105070
2016-08-05,W,48.03,1104039
2016-08-08,W,48.25,2069204
2016-08-09,W,38.8,13282413
2016-08-10,W,37.72,7979974
2016-08-11,W,38.18,2525542
2016-08-12,W,38.99,1596260
2016-08-15,W,39.0,1563543
2016-08-16,W,38.05,941415
2016-08-17,W,37.39,927863
2016-08-18,W,37.88,742619
2016-08-19,W,38.23,1009093
2016-08-22,W,37.89,950958
2016-08-23,W,38.11,884661
2016-08-24,W,38.12,1050379
2016-08-25,W,38.14,599030
2016-08-26,W,38.99,1037073
