ds,symbol,close,volume
1995-06-16,WAB,7.5,6212400
1995-06-19,WAB,7.1875,1528200
1995-06-20,WAB,7.1875,863000
1995-06-21,WAB,7.0625,629000
1995-06-22,WAB,7.3125,546200
1995-06-23,WAB,7.3125,365000
1995-06-26,WAB,7.0625,515400
1995-06-27,WAB,7.0,270800
1995-06-28,WAB,7.0,500400
1995-06-29,WAB,7.0,309200
1995-06-30,WAB,7.125,95000
1995-07-03,WAB,7.0625,9200
1995-07-05,WAB,7.0625,75600
1995-07-06,WAB,7.0625,81400
1995-07-07,WAB,7.5625,475000
1995-07-10,WAB,7.75,241400
1995-07-11,WAB,8.5,538600
1995-07-12,WAB,9.0,496200
1995-07-13,WAB,8.9375,384000
1995-07-14,WAB,8.9375,102200
1995-07-17,WAB,9.4375,480200
1995-07-18,WAB,9.0625,359200
1995-07-19,WAB,8.875,101600
1995-07-20,WAB,8.6875,119600
1995-07-21,WAB,8.6875,13000
1995-07-24,WAB,8.5625,112000
1995-07-25,WAB,8.75,201000
1995-07-26,WAB,9.125,287800
1995-07-27,WAB,9.3125,101600
1995-07-28,WAB,9.3125,100400
1995-07-31,WAB,9.25,60800
1995-08-01,WAB,9.0625,57600
1995-08-02,WAB,8.875,41000
1995-08-03,WAB,8.75,12600
1995-08-04,WAB,8.625,9000
1995-08-07,WAB,8.6875,12200
1995-08-08,WAB,8.5625,3200
1995-08-09,WAB,8.1875,24000
1995-08-10,WAB,8.125,6800
1995-08-11,WAB,8.125,10000
1995-08-14,WAB,8.0,28200
1995-08-15,WAB,8.0,9400
1995-08-16,WAB,8.1875,11800
1995-08-17,WAB,8.25,6200
1995-08-18,WAB,8.25,9800
1995-08-21,WAB,8.375,8600
1995-08-22,WAB,8.4375,12400
1995-08-23,WAB,8.5625,28800
1995-08-24,WAB,8.75,16200
1995-08-25,WAB,8.5625,30200
1995-08-28,WAB,8.4375,9200
1995-08-29,WAB,8.1875,9200
1995-08-30,WAB,8.1875,1400
1995-08-31,WAB,8.125,13800
1995-09-01,WAB,8.0625,9200
1995-09-05,WAB,8.0,12200
1995-09-06,WAB,7.8125,23400
1995-09-07,WAB,7.75,48800
1995-09-08,WAB,7.9375,140200
1995-09-11,WAB,7.875,104000
1995-09-12,WAB,8.0,11000
1995-09-13,WAB,7.8125,14600
1995-09-14,WAB,7.8125,14800
1995-09-15,WAB,7.75,6200
1995-09-18,WAB,7.5,41600
1995-09-19,WAB,7.5,5000
1995-09-20,WAB,7.25,20800
1995-09-21,WAB,7.375,61000
1995-09-22,WAB,7.375,53400
1995-09-25,WAB,7.3125,28200
1995-09-26,WAB,7.3125,265000
1995-09-27,WAB,7.0625,95200
1995-09-28,WAB,7.1875,68600
1995-09-29,WAB,7.1875,12200
1995-10-02,WAB,7.125,77400
1995-10-03,WAB,6.75,141400
1995-10-04,WAB,6.5625,49000
1995-10-05,WAB,7.375,180400
1995-10-06,WAB,7.5625,64800
1995-10-09,WAB,7.3125,46200
1995-10-10,WAB,7.3125,22800
1995-10-11,WAB,7.3125,3400
1995-10-12,WAB,7.375,20200
1995-10-13,WAB,7.5,6800
1995-10-16,WAB,7.4375,7400
1995-10-17,WAB,7.3125,264800
1995-10-18,WAB,6.75,54400
1995-10-19,WAB,6.75,108800
1995-10-20,WAB,6.5,17000
1995-10-23,WAB,6.3125,414800
1995-10-24,WAB,6.25,174400
1995-10-25,WAB,6.375,941600
1995-10-26,WAB,6.1875,50000
1995-10-27,WAB,6.0,64400
1995-10-30,WAB,5.125,244400
