ds,symbol,close,volume
1998-05-22,WCN,2.820988,13194394
1998-05-26,WCN,2.962963,913275
1998-05-27,WCN,2.864198,995794
1998-05-28,WCN,2.962963,540675
1998-05-29,WCN,3.0,409050
1998-06-01,WCN,3.0,205538
1998-06-02,WCN,3.037037,1033763
1998-06-03,WCN,3.234568,394369
1998-06-04,WCN,3.358025,327544
1998-06-05,WCN,3.481481,833794
1998-06-08,WCN,3.481481,136688
1998-06-09,WCN,3.209877,349819
1998-06-10,WCN,3.185185,586744
1998-06-11,WCN,3.234568,164025
1998-06-12,WCN,3.259259,164025
1998-06-15,WCN,3.283951,64800
1998-06-16,WCN,3.703704,219713
1998-06-17,WCN,3.950617,550294
1998-06-18,WCN,3.876543,457144
1998-06-19,WCN,3.654321,120994
1998-06-22,WCN,3.654321,166556
1998-06-23,WCN,3.555556,466763
1998-06-24,WCN,3.703704,210094
1998-06-25,WCN,3.925926,459169
1998-06-26,WCN,3.802469,45563
1998-06-29,WCN,3.950617,97200
1998-06-30,WCN,3.925926,72900
1998-07-01,WCN,4.024691,161494
1998-07-02,WCN,3.925926,206044
1998-07-06,WCN,3.851852,110363
1998-07-07,WCN,3.703704,54169
1998-07-08,WCN,3.580247,518906
1998-07-09,WCN,3.654321,92138
1998-07-10,WCN,3.802469,35438
1998-07-13,WCN,3.82716,186300
1998-07-14,WCN,3.802469,14681
1998-07-15,WCN,4.0,173644
1998-07-16,WCN,3.802469,16200
1998-07-17,WCN,3.975309,32906
1998-07-20,WCN,3.876543,86569
1998-07-21,WCN,3.950617,1519
1998-07-22,WCN,4.037037,38981
1998-07-23,WCN,4.37037,234394
1998-07-24,WCN,4.148148,88594
1998-07-27,WCN,4.098765,16200
1998-07-28,WCN,4.345679,160988
1998-07-29,WCN,4.246914,124538
1998-07-30,WCN,4.395062,28856
1998-07-31,WCN,4.37037,231356
1998-08-03,WCN,4.17284,44044
1998-08-04,WCN,4.320988,88594
1998-08-05,WCN,4.395062,58219
1998-08-06,WCN,4.345679,7594
1998-08-07,WCN,4.444444,753806
1998-08-10,WCN,4.419753,103275
1998-08-11,WCN,4.345679,15188
1998-08-12,WCN,4.469136,6581
1998-08-13,WCN,4.444444,44044
1998-08-14,WCN,4.419753,1013
1998-08-17,WCN,4.345679,25313
1998-08-18,WCN,4.37037,938588
1998-08-19,WCN,4.37037,11138
1998-08-20,WCN,4.333333,27338
1998-08-21,WCN,4.197531,16200
1998-08-24,WCN,4.197531,25819
1998-08-25,WCN,4.197531,35438
1998-08-26,WCN,4.197531,0
1998-08-27,WCN,4.222222,171619
1998-08-28,WCN,4.271605,121500
1998-08-31,WCN,4.185185,77963
1998-09-01,WCN,4.135802,674325
1998-09-02,WCN,3.975309,129600
1998-09-03,WCN,3.753086,25819
1998-09-04,WCN,3.802469,28856
1998-09-08,WCN,3.802469,1013
1998-09-09,WCN,3.814815,15694
