ds,symbol,close,volume
2000-10-19,WIT,2.196699,41542018
2000-10-20,WIT,2.35281,15871118
2000-10-23,WIT,2.157672,6477138
2000-10-24,WIT,2.179973,3721720
2000-10-25,WIT,2.177186,3013248
2000-10-26,WIT,2.152096,2051430
2000-10-27,WIT,2.219001,2999796
2000-10-30,WIT,2.277542,4098376
2000-10-31,WIT,2.347235,3896596
2000-11-01,WIT,2.363961,1694952
2000-11-02,WIT,2.419715,1735308
2000-11-03,WIT,2.430865,2488620
2000-11-06,WIT,2.358385,1970718
2000-11-07,WIT,2.338872,1242068
2000-11-08,WIT,2.494982,3053604
2000-11-09,WIT,2.500558,1181534
2000-11-10,WIT,2.442016,434948
2000-11-13,WIT,2.363961,2181466
2000-11-14,WIT,2.49777,2434812
2000-11-15,WIT,2.481044,2284598
2000-11-16,WIT,2.492194,1472994
2000-11-17,WIT,2.481044,726408
2000-11-20,WIT,2.628791,2833888
2000-11-21,WIT,2.776539,4421224
2000-11-22,WIT,2.531222,5517562
2000-11-24,WIT,2.65388,1737550
2000-11-27,WIT,2.698483,1641144
2000-11-28,WIT,2.639942,612066
2000-11-29,WIT,2.536798,1932604
2000-11-30,WIT,2.419715,3076024
2000-12-01,WIT,2.634367,4916706
2000-12-04,WIT,2.665031,1165840
2000-12-05,WIT,2.924286,5120728
2000-12-06,WIT,2.72636,1735308
2000-12-07,WIT,2.837868,1950540
2000-12-08,WIT,2.921499,2849582
2000-12-11,WIT,2.982828,2587268
2000-12-12,WIT,2.988403,1129968
2000-12-13,WIT,3.01628,1564916
2000-12-14,WIT,2.910348,1674774
2000-12-15,WIT,2.670607,5329234
2000-12-18,WIT,2.65388,3562538
2000-12-19,WIT,2.522859,1150146
2000-12-20,WIT,2.363961,5479448
2000-12-21,WIT,2.369536,5033290
2000-12-22,WIT,2.235727,2607446
2000-12-26,WIT,2.182761,1289150
2000-12-27,WIT,2.213426,1280182
2000-12-28,WIT,2.224576,872138
2000-12-29,WIT,2.235727,838508
2001-01-02,WIT,2.249665,1082886
2001-01-03,WIT,2.559099,6084788
2001-01-04,WIT,2.545161,2141110
2001-01-05,WIT,2.503345,1910184
2001-01-08,WIT,2.492194,338542
2001-01-09,WIT,2.592551,2513282
2001-01-10,WIT,2.575825,1392282
2001-01-11,WIT,2.500558,2111964
2001-01-12,WIT,2.469893,2827162
2001-01-16,WIT,2.453167,3445954
2001-01-17,WIT,2.559099,2394456
2001-01-18,WIT,2.75145,2717304
2001-01-19,WIT,2.815566,3885386
2001-01-22,WIT,2.704059,4221686
2001-01-23,WIT,2.662244,2333922
2001-01-24,WIT,2.768176,2044704
2001-01-25,WIT,2.701271,356478
2001-01-26,WIT,2.673394,1376588
2001-01-29,WIT,2.656111,715198
2001-01-30,WIT,2.720785,1751002
2001-01-31,WIT,2.760036,638970
2001-02-01,WIT,2.71231,280250
2001-02-02,WIT,2.741302,665874
2001-02-05,WIT,2.720785,473062
2001-02-06,WIT,2.725245,638970
2001-02-07,WIT,2.678858,1091854
2001-02-08,WIT,2.770294,950608
2001-02-09,WIT,2.788136,1587336
2001-02-12,WIT,2.814451,2593994
