ds,symbol,close,volume
1991-11-26,WRLD,2.333333,2103900
1991-11-27,WRLD,2.25,211800
1991-11-29,WRLD,2.25,13800
1991-12-02,WRLD,2.416667,389700
1991-12-03,WRLD,2.333333,266700
1991-12-04,WRLD,2.333333,97200
1991-12-05,WRLD,2.333333,164700
1991-12-06,WRLD,2.375,85800
1991-12-09,WRLD,2.333333,75600
1991-12-10,WRLD,2.333333,126900
1991-12-11,WRLD,2.333333,84000
1991-12-12,WRLD,2.333333,94800
1991-12-13,WRLD,2.333333,66600
1991-12-16,WRLD,2.333333,39000
1991-12-17,WRLD,2.333333,78000
1991-12-18,WRLD,2.416667,31500
1991-12-19,WRLD,2.333333,24600
1991-12-20,WRLD,2.333333,172800
1991-12-23,WRLD,2.333333,77400
1991-12-24,WRLD,2.333333,41700
1991-12-26,WRLD,2.375,265200
1991-12-27,WRLD,2.333333,49800
1991-12-30,WRLD,2.333333,60900
1991-12-31,WRLD,2.333333,395100
1992-01-02,WRLD,2.333333,70500
1992-01-03,WRLD,2.25,370800
1992-01-06,WRLD,2.291667,201300
1992-01-07,WRLD,2.416667,367200
1992-01-08,WRLD,2.333333,215100
1992-01-09,WRLD,2.333333,358500
1992-01-10,WRLD,2.416667,153300
1992-01-13,WRLD,2.25,80400
1992-01-14,WRLD,2.416667,353700
1992-01-15,WRLD,2.416667,128400
1992-01-16,WRLD,2.416667,251400
1992-01-17,WRLD,2.416667,387300
1992-01-20,WRLD,2.583333,306600
1992-01-21,WRLD,2.833333,752700
1992-01-22,WRLD,2.666667,348300
1992-01-23,WRLD,2.666667,531900
1992-01-24,WRLD,2.583333,199500
1992-01-27,WRLD,2.75,123000
1992-01-28,WRLD,2.583333,69000
1992-01-29,WRLD,2.583333,244500
1992-01-30,WRLD,2.75,94800
1992-01-31,WRLD,2.75,90600
1992-02-03,WRLD,2.75,155700
1992-02-04,WRLD,2.583333,186000
1992-02-05,WRLD,2.583333,93900
1992-02-06,WRLD,2.666667,78600
1992-02-07,WRLD,2.75,157500
1992-02-10,WRLD,2.833333,438600
1992-02-11,WRLD,2.916667,384000
1992-02-12,WRLD,3.083333,203100
1992-02-13,WRLD,3.0,212400
1992-02-14,WRLD,3.166667,415200
1992-02-18,WRLD,3.0,216900
1992-02-19,WRLD,3.0,59400
1992-02-20,WRLD,3.166667,69600
1992-02-21,WRLD,3.0,50700
1992-02-24,WRLD,3.0,57600
1992-02-25,WRLD,2.916667,258600
1992-02-26,WRLD,3.041667,171300
1992-02-27,WRLD,3.0,147600
1992-02-28,WRLD,3.166667,54000
1992-03-02,WRLD,3.333333,178800
1992-03-03,WRLD,3.416667,663300
1992-03-04,WRLD,3.541667,363600
1992-03-05,WRLD,3.333333,358200
1992-03-06,WRLD,3.291667,224700
1992-03-09,WRLD,3.333333,16800
1992-03-10,WRLD,3.291667,100800
1992-03-11,WRLD,3.333333,48300
1992-03-12,WRLD,3.291667,125100
1992-03-13,WRLD,3.416667,119400
1992-03-16,WRLD,3.416667,121500
1992-03-17,WRLD,3.333333,158100
1992-03-18,WRLD,3.375,102600
1992-03-19,WRLD,3.416667,84600
1992-03-20,WRLD,3.333333,90600
1992-03-23,WRLD,3.416667,66300
1992-03-24,WRLD,3.416667,148200
1992-03-25,WRLD,3.416667,92400
1992-03-26,WRLD,3.416667,30900
1992-03-27,WRLD,3.291667,119400
1992-03-30,WRLD,3.208333,107100
1992-03-31,WRLD,3.333333,27900
1992-04-01,WRLD,3.25,28500
1992-04-02,WRLD,3.166667,18600
1992-04-03,WRLD,3.083333,56700
1992-04-06,WRLD,3.0,29700
1992-04-07,WRLD,3.083333,65100
1992-04-08,WRLD,3.25,83700
1992-04-09,WRLD,3.25,30600
1992-04-10,WRLD,3.083333,4200
1992-04-13,WRLD,3.208333,5100
1992-04-14,WRLD,3.25,35400
1992-04-15,WRLD,3.166667,39900
1992-04-16,WRLD,3.083333,150000
1992-04-20,WRLD,3.0,50400
1992-04-21,WRLD,3.0,23400
1992-04-22,WRLD,3.0,141900
1992-04-23,WRLD,3.25,209100
1992-04-24,WRLD,3.083333,69900
1992-04-27,WRLD,3.083333,39000
1992-04-28,WRLD,3.041667,64500
1992-04-29,WRLD,2.916667,3600
1992-04-30,WRLD,3.0,70500
1992-05-01,WRLD,2.916667,2100
1992-05-04,WRLD,3.083333,78000
1992-05-05,WRLD,3.041667,39600
1992-05-06,WRLD,3.041667,27600
1992-05-07,WRLD,3.0,205500
1992-05-08,WRLD,3.0,5700
1992-05-11,WRLD,3.0,96900
1992-05-12,WRLD,3.0,73200
1992-05-13,WRLD,2.916667,2400
1992-05-14,WRLD,2.916667,9600
1992-05-15,WRLD,3.0,13800
1992-05-18,WRLD,2.833333,124800
1992-05-19,WRLD,2.75,45900
1992-05-20,WRLD,2.75,27300
1992-05-21,WRLD,2.833333,6300
1992-05-22,WRLD,2.791667,54000
1992-05-26,WRLD,2.791667,43800
1992-05-27,WRLD,2.791667,55200
1992-05-28,WRLD,2.75,5700
1992-05-29,WRLD,2.75,41700
1992-06-01,WRLD,2.75,198600
1992-06-02,WRLD,2.791667,10200
1992-06-03,WRLD,2.791667,11100
1992-06-04,WRLD,2.833333,21000
1992-06-05,WRLD,2.666667,24900
1992-06-08,WRLD,2.583333,5400
1992-06-09,WRLD,2.583333,37800
1992-06-10,WRLD,2.583333,159300
1992-06-11,WRLD,2.75,600
1992-06-12,WRLD,2.75,14400
1992-06-15,WRLD,2.583333,3900
1992-06-16,WRLD,2.583333,17100
1992-06-17,WRLD,2.333333,2677800
1992-06-18,WRLD,2.416667,138000
1992-06-19,WRLD,2.416667,444900
1992-06-22,WRLD,2.333333,19800
1992-06-23,WRLD,2.458333,21600
1992-06-24,WRLD,2.5,11700
1992-06-25,WRLD,2.5,4500
1992-06-26,WRLD,2.5,11100
1992-06-29,WRLD,2.583333,207600
1992-06-30,WRLD,2.583333,111300
1992-07-01,WRLD,2.75,9000
1992-07-02,WRLD,2.666667,4500
1992-07-06,WRLD,2.75,2700
1992-07-07,WRLD,2.75,8700
1992-07-08,WRLD,2.583333,300
1992-07-09,WRLD,2.583333,600
1992-07-10,WRLD,2.833333,54000
1992-07-13,WRLD,2.666667,40200
1992-07-14,WRLD,2.833333,22200
1992-07-15,WRLD,2.666667,6000
1992-07-16,WRLD,2.833333,18600
1992-07-17,WRLD,2.833333,6900
1992-07-20,WRLD,2.833333,24900
1992-07-21,WRLD,2.666667,9000
1992-07-22,WRLD,2.875,115500
1992-07-23,WRLD,2.916667,192900
