ds,symbol,close,volume
2015-11-11,WVE,16.0,1364137
2015-11-12,WVE,16.0,90605
2015-11-13,WVE,15.9,62039
2015-11-16,WVE,15.89,7850
2015-11-17,WVE,15.9,49784
2015-11-18,WVE,15.89,26166
2015-11-19,WVE,15.79,48681
2015-11-20,WVE,16.0,24996
2015-11-23,WVE,16.0,49001
2015-11-24,WVE,16.0,11694
2015-11-25,WVE,16.08,26189
2015-11-27,WVE,16.09,18098
2015-11-30,WVE,16.25,94552
2015-12-01,WVE,16.49,32767
2015-12-02,WVE,16.87,14540
2015-12-03,WVE,16.75,108765
2015-12-04,WVE,16.4,120925
2015-12-07,WVE,14.14,104800
2015-12-08,WVE,14.22,124375
2015-12-09,WVE,14.16,108803
2015-12-10,WVE,14.28,45844
2015-12-11,WVE,13.785,65898
2015-12-14,WVE,13.08,115041
2015-12-15,WVE,13.51,36788
2015-12-16,WVE,13.79,44769
2015-12-17,WVE,16.05,45832
2015-12-18,WVE,15.32,193807
2015-12-21,WVE,17.31,67164
2015-12-22,WVE,19.58,93654
2015-12-23,WVE,17.69,76297
2015-12-24,WVE,16.39,38706
2015-12-28,WVE,15.59,95154
2015-12-29,WVE,14.65,49928
2015-12-30,WVE,15.02,16863
2015-12-31,WVE,15.95,58146
2016-01-04,WVE,15.07,39637
2016-01-05,WVE,14.58,24045
2016-01-06,WVE,14.17,21857
2016-01-07,WVE,14.06,14922
2016-01-08,WVE,13.2,50881
2016-01-11,WVE,13.36,24822
2016-01-12,WVE,13.23,30167
2016-01-13,WVE,13.25,27070
2016-01-14,WVE,13.1,29954
2016-01-15,WVE,13.98,38017
2016-01-19,WVE,15.31,9803
2016-01-20,WVE,15.92,37394
2016-01-21,WVE,15.2,27244
2016-01-22,WVE,15.21,9627
2016-01-25,WVE,14.27,13208
2016-01-26,WVE,13.47,8544
2016-01-27,WVE,13.215,13389
2016-01-28,WVE,13.7699,2343
2016-01-29,WVE,13.53,4396
2016-02-01,WVE,12.96,17680
2016-02-02,WVE,12.75,13127
2016-02-03,WVE,12.5901,6921
2016-02-04,WVE,12.75,8711
2016-02-05,WVE,12.59,2045
2016-02-08,WVE,11.04,3890
2016-02-09,WVE,11.11,3764
2016-02-10,WVE,9.72,2792
2016-02-11,WVE,10.0766,1179
2016-02-12,WVE,9.96,41267
2016-02-16,WVE,9.6,8523
2016-02-17,WVE,10.12,23814
2016-02-18,WVE,13.29,14645
2016-02-19,WVE,13.59,5255
2016-02-22,WVE,14.29,13870
2016-02-23,WVE,15.48,6840
2016-02-24,WVE,14.18,15075
2016-02-25,WVE,14.7,5585
2016-02-26,WVE,14.8,7245
2016-02-29,WVE,15.05,1405
2016-03-01,WVE,14.1,27530
2016-03-02,WVE,14.82,12842
2016-03-03,WVE,15.3,1527
2016-03-04,WVE,15.12,6663
2016-03-07,WVE,14.735,10121
2016-03-08,WVE,14.11,18242
2016-03-09,WVE,14.15,7708
2016-03-10,WVE,14.7,13673
2016-03-11,WVE,14.27,10401
2016-03-14,WVE,16.95,26033
2016-03-15,WVE,19.45,32310
2016-03-16,WVE,19.8,80297
2016-03-17,WVE,18.97,28677
2016-03-18,WVE,14.59,56651
2016-03-21,WVE,13.94,30600
2016-03-22,WVE,13.95,43964
2016-03-23,WVE,14.0,9483
2016-03-24,WVE,14.51,73541
2016-03-28,WVE,14.49,7688
2016-03-29,WVE,14.33,14929
2016-03-30,WVE,14.35,6049
2016-03-31,WVE,13.88,32273
2016-04-01,WVE,13.7,34106
2016-04-04,WVE,13.72,18287
2016-04-05,WVE,12.56,30287
2016-04-06,WVE,13.13,55605
2016-04-07,WVE,12.97,31098
2016-04-08,WVE,13.03,14676
2016-04-11,WVE,12.98,14685
2016-04-12,WVE,12.76,56338
2016-04-13,WVE,12.96,55013
2016-04-14,WVE,12.66,15828
2016-04-15,WVE,12.87,29147
2016-04-18,WVE,12.61,8712
2016-04-19,WVE,13.18,84376
2016-04-20,WVE,13.25,24975
2016-04-21,WVE,14.07,30179
2016-04-22,WVE,13.52,26933
2016-04-25,WVE,13.85,37298
2016-04-26,WVE,13.85,41344
2016-04-27,WVE,13.59,15029
2016-04-28,WVE,13.4,42286
2016-04-29,WVE,13.52,28831
2016-05-02,WVE,14.21,63270
2016-05-03,WVE,14.6,21028
2016-05-04,WVE,14.63,4753
2016-05-05,WVE,15.28,93130
2016-05-06,WVE,15.2,76478
2016-05-09,WVE,15.48,153456
2016-05-10,WVE,15.5,136663
2016-05-11,WVE,15.65,21862
2016-05-12,WVE,15.33,20157
2016-05-13,WVE,15.12,26706
2016-05-16,WVE,14.74,17343
2016-05-17,WVE,14.71,85806
2016-05-18,WVE,15.5,21402
2016-05-19,WVE,15.33,20876
2016-05-20,WVE,15.64,16774
2016-05-23,WVE,16.3,42592
2016-05-24,WVE,16.25,17066
2016-05-25,WVE,16.28,20636
2016-05-26,WVE,15.08,302146
2016-05-27,WVE,15.53,17932
2016-05-31,WVE,15.91,22293
2016-06-01,WVE,16.27,54358
2016-06-02,WVE,16.21,46827
2016-06-03,WVE,15.9,31074
2016-06-06,WVE,15.58,56064
2016-06-07,WVE,15.25,65805
2016-06-08,WVE,15.7,60791
2016-06-09,WVE,15.41,31659
2016-06-10,WVE,16.04,48534
2016-06-13,WVE,15.63,57662
2016-06-14,WVE,16.13,30656
2016-06-15,WVE,17.11,101693
2016-06-16,WVE,18.79,219401
2016-06-17,WVE,19.33,67582
2016-06-20,WVE,20.5,112600
2016-06-21,WVE,20.28,98094
2016-06-22,WVE,20.02,114964
2016-06-23,WVE,20.73,99702
2016-06-24,WVE,20.25,836657
2016-06-27,WVE,20.01,84587
2016-06-28,WVE,20.15,93657
2016-06-29,WVE,20.47,37557
2016-06-30,WVE,20.69,37228
2016-07-01,WVE,19.94,47372
2016-07-05,WVE,20.33,46714
2016-07-06,WVE,20.49,23749
2016-07-07,WVE,21.2,65664
2016-07-08,WVE,22.47,64287
2016-07-11,WVE,21.69,37039
2016-07-12,WVE,23.0,33457
2016-07-13,WVE,22.47,40387
2016-07-14,WVE,22.13,15321
2016-07-15,WVE,22.88,31774
2016-07-18,WVE,26.63,103483
2016-07-19,WVE,23.45,140893
2016-07-20,WVE,22.6,73233
2016-07-21,WVE,21.94,51526
2016-07-22,WVE,21.1,21020
2016-07-25,WVE,19.6,58396
2016-07-26,WVE,19.87,47391
2016-07-27,WVE,19.84,39990
2016-07-28,WVE,19.17,22371
2016-07-29,WVE,19.31,17929
2016-08-01,WVE,18.36,18949
2016-08-02,WVE,18.24,19622
2016-08-03,WVE,18.09,42264
2016-08-04,WVE,18.56,8219
2016-08-05,WVE,19.25,8740
2016-08-08,WVE,19.49,25285
2016-08-09,WVE,19.63,4495
2016-08-10,WVE,19.34,11010
2016-08-11,WVE,19.74,8854
2016-08-12,WVE,19.76,15124
2016-08-15,WVE,20.57,17990
2016-08-16,WVE,20.89,37838
2016-08-17,WVE,21.87,89049
2016-08-18,WVE,22.59,55690
2016-08-19,WVE,22.43,47328
2016-08-22,WVE,22.37,24431
2016-08-23,WVE,22.97,22836
2016-08-24,WVE,23.6,23379
2016-08-25,WVE,24.2,30705
2016-08-26,WVE,24.55,44366
2016-08-29,WVE,24.91,17339
2016-08-30,WVE,25.05,135170
2016-08-31,WVE,24.94,40716
2016-09-01,WVE,23.28,50723
2016-09-02,WVE,24.99,13684
2016-09-06,WVE,25.1,38286
2016-09-07,WVE,26.24,140354
2016-09-08,WVE,26.0,47616
2016-09-09,WVE,25.9,59999
2016-09-12,WVE,25.67,61157
2016-09-13,WVE,24.72,26479
2016-09-14,WVE,25.08,60157
2016-09-15,WVE,25.47,52976
2016-09-16,WVE,25.7,125147
2016-09-19,WVE,26.1,176590
2016-09-20,WVE,27.22,105654
2016-09-21,WVE,29.27,85725
2016-09-22,WVE,33.61,205235
2016-09-23,WVE,34.32,113898
2016-09-26,WVE,33.31,209220
2016-09-27,WVE,31.96,57523
2016-09-28,WVE,32.17,42965
2016-09-29,WVE,32.17,206741
2016-09-30,WVE,32.47,73128
2016-10-03,WVE,31.17,66378
2016-10-04,WVE,31.55,54779
2016-10-05,WVE,32.92,265605
2016-10-06,WVE,29.64,326264
2016-10-07,WVE,30.27,85140
2016-10-10,WVE,31.43,73523
2016-10-11,WVE,30.6,35017
2016-10-12,WVE,29.82,105746
2016-10-13,WVE,28.57,122141
2016-10-14,WVE,28.77,90757
2016-10-17,WVE,29.05,87210
2016-10-18,WVE,29.56,52002
2016-10-19,WVE,30.03,44530
2016-10-20,WVE,30.23,21976
2016-10-21,WVE,30.14,16343
2016-10-24,WVE,30.85,18903
2016-10-25,WVE,30.7,41228
2016-10-26,WVE,31.25,142056
2016-10-27,WVE,31.2,47165
2016-10-28,WVE,31.35,27993
2016-10-31,WVE,31.85,74377
2016-11-01,WVE,31.9,49600
2016-11-02,WVE,32.5,43407
2016-11-03,WVE,32.35,52902
2016-11-04,WVE,34.05,33060
2016-11-07,WVE,33.85,51524
2016-11-08,WVE,31.6,50584
2016-11-09,WVE,36.45,173384
2016-11-10,WVE,36.425,72591
2016-11-11,WVE,36.5,109114
2016-11-14,WVE,37.35,79870
2016-11-15,WVE,37.9,83918
2016-11-16,WVE,36.6,46621
2016-11-17,WVE,37.75,98447
2016-11-18,WVE,37.95,30078
2016-11-21,WVE,37.95,17949
2016-11-22,WVE,37.55,38937
2016-11-23,WVE,38.9,34349
2016-11-25,WVE,39.55,39187
2016-11-28,WVE,37.75,48026
2016-11-29,WVE,37.15,46043
2016-11-30,WVE,35.6,108416
2016-12-01,WVE,35.8,41100
2016-12-02,WVE,35.85,42119
2016-12-05,WVE,36.2,42373
2016-12-06,WVE,37.0,32685
2016-12-07,WVE,34.3,45168
2016-12-08,WVE,33.7,64519
2016-12-09,WVE,33.25,45648
2016-12-12,WVE,32.05,40135
2016-12-13,WVE,31.75,16966
2016-12-14,WVE,29.6,62293
2016-12-15,WVE,29.55,95550
2016-12-16,WVE,29.2,99693
2016-12-19,WVE,28.6,41826
2016-12-20,WVE,28.6,55793
2016-12-21,WVE,28.85,23580
2016-12-22,WVE,27.2,37873
2016-12-23,WVE,28.75,14531
2016-12-27,WVE,29.15,12815
2016-12-28,WVE,27.9,22484
2016-12-29,WVE,27.3,39373
2016-12-30,WVE,26.15,60704
2017-01-03,WVE,26.2,87019
2017-01-04,WVE,27.8,38938
2017-01-05,WVE,27.15,114217
2017-01-06,WVE,27.25,213732
2017-01-09,WVE,27.4,127264
2017-01-10,WVE,27.65,44864
2017-01-11,WVE,27.1,73263
2017-01-12,WVE,27.35,27675
2017-01-13,WVE,28.05,53286
2017-01-17,WVE,27.5,43062
2017-01-18,WVE,27.75,37034
2017-01-19,WVE,27.3,50724
2017-01-20,WVE,27.35,56341
2017-01-23,WVE,27.5,46961
2017-01-24,WVE,28.6,53400
2017-01-25,WVE,29.05,20867
2017-01-26,WVE,29.15,51036
2017-01-27,WVE,30.15,28650
2017-01-30,WVE,28.95,46938
2017-01-31,WVE,28.75,68395
2017-02-01,WVE,28.8,46579
2017-02-02,WVE,27.95,25056
2017-02-03,WVE,28.4,51657
2017-02-06,WVE,28.85,53322
2017-02-07,WVE,29.05,48468
2017-02-08,WVE,28.6,44311
2017-02-09,WVE,29.2,37658
2017-02-10,WVE,30.05,45751
2017-02-13,WVE,30.05,51966
2017-02-14,WVE,29.5,29683
2017-02-15,WVE,30.25,65336
2017-02-16,WVE,30.0,47728
2017-02-17,WVE,30.0,23660
2017-02-21,WVE,29.85,21989
2017-02-22,WVE,28.1,132018
2017-02-23,WVE,27.95,23801
2017-02-24,WVE,28.05,40450
2017-02-27,WVE,30.7,44188
2017-02-28,WVE,30.1,36417
2017-03-01,WVE,30.6,101339
2017-03-02,WVE,28.25,67253
2017-03-03,WVE,27.85,69235
2017-03-06,WVE,27.0,58226
2017-03-07,WVE,27.0,61992
2017-03-08,WVE,27.0,52186
2017-03-09,WVE,27.0,51074
2017-03-10,WVE,26.35,51785
2017-03-13,WVE,26.4,97670
2017-03-14,WVE,26.45,28042
2017-03-15,WVE,27.0,87767
2017-03-16,WVE,26.15,124911
2017-03-17,WVE,26.45,141954
2017-03-20,WVE,26.3,30624
2017-03-21,WVE,25.8,74755
2017-03-22,WVE,25.6,24455
2017-03-23,WVE,26.0,14038
2017-03-24,WVE,25.35,21084
2017-03-27,WVE,26.9,30913
2017-03-28,WVE,26.75,44239
2017-03-29,WVE,25.65,25170
2017-03-30,WVE,28.9,64939
2017-03-31,WVE,27.5,67223
2017-04-03,WVE,27.1,55082
2017-04-04,WVE,27.05,42087
2017-04-05,WVE,26.65,63094
2017-04-06,WVE,26.05,198812
2017-04-07,WVE,27.0,20585
2017-04-10,WVE,26.75,13526
2017-04-11,WVE,26.55,10210
2017-04-12,WVE,23.15,2119694
2017-04-13,WVE,23.0,270618
2017-04-17,WVE,22.95,160053
2017-04-18,WVE,21.95,247988
2017-04-19,WVE,21.65,142152
2017-04-20,WVE,21.65,150670
2017-04-21,WVE,20.75,384160
2017-04-24,WVE,20.25,202142
2017-04-25,WVE,21.4,136234
2017-04-26,WVE,21.3,92312
2017-04-27,WVE,22.15,95411
2017-04-28,WVE,21.1,173947
2017-05-01,WVE,21.45,51286
2017-05-02,WVE,22.35,52834
2017-05-03,WVE,21.5,51527
2017-05-04,WVE,21.0,25361
2017-05-05,WVE,21.15,64645
2017-05-08,WVE,20.85,71419
2017-05-09,WVE,20.85,38751
2017-05-10,WVE,20.95,73052
2017-05-11,WVE,21.4,106963
2017-05-12,WVE,22.2,44405
2017-05-15,WVE,22.5,58178
2017-05-16,WVE,22.4,51690
2017-05-17,WVE,21.2,40961
2017-05-18,WVE,21.1,21767
2017-05-19,WVE,20.85,33366
2017-05-22,WVE,20.9,23534
2017-05-23,WVE,21.05,24907
2017-05-24,WVE,20.85,17335
2017-05-25,WVE,20.05,26748
2017-05-26,WVE,20.15,27631
2017-05-30,WVE,19.8,30523
2017-05-31,WVE,18.9,421994
2017-06-01,WVE,19.5,62815
2017-06-02,WVE,20.6,85513
2017-06-05,WVE,20.15,69082
2017-06-06,WVE,20.45,42023
2017-06-07,WVE,20.4,49804
2017-06-08,WVE,20.25,45383
2017-06-09,WVE,20.4,73287
2017-06-12,WVE,20.4,55671
2017-06-13,WVE,20.5,70707
2017-06-14,WVE,20.25,73321
2017-06-15,WVE,19.5,34249
2017-06-16,WVE,21.0,124724
2017-06-19,WVE,21.1,87744
2017-06-20,WVE,20.6,54994
2017-06-21,WVE,21.0,92855
2017-06-22,WVE,20.75,66078
2017-06-23,WVE,20.5,431383
2017-06-26,WVE,20.6,70252
2017-06-27,WVE,20.45,57097
2017-06-28,WVE,19.9,115396
2017-06-29,WVE,18.9,37922
2017-06-30,WVE,18.6,68317
2017-07-03,WVE,18.4,59048
2017-07-05,WVE,19.2,33306
2017-07-06,WVE,18.2,59290
2017-07-07,WVE,18.2,23695
2017-07-10,WVE,17.65,44662
2017-07-11,WVE,16.7,84562
2017-07-12,WVE,16.7,89376
2017-07-13,WVE,16.75,74471
2017-07-14,WVE,16.85,31916
2017-07-17,WVE,16.5,99341
2017-07-18,WVE,15.25,224447
2017-07-19,WVE,16.45,110470
2017-07-20,WVE,18.55,154191
2017-07-21,WVE,18.8,87481
2017-07-24,WVE,20.0,110143
2017-07-25,WVE,20.2,108035
2017-07-26,WVE,21.25,143091
2017-07-27,WVE,20.05,251802
2017-07-28,WVE,19.55,52902
2017-07-31,WVE,19.85,41871
2017-08-01,WVE,19.95,49178
2017-08-02,WVE,19.4,48513
2017-08-03,WVE,19.0,59104
2017-08-04,WVE,20.1,70161
2017-08-07,WVE,20.2,41688
2017-08-08,WVE,19.6,78789
2017-08-09,WVE,18.1,43917
2017-08-10,WVE,18.1,71449
2017-08-11,WVE,17.65,32855
2017-08-14,WVE,17.1,55295
2017-08-15,WVE,17.35,61812
2017-08-16,WVE,17.5,37702
2017-08-17,WVE,16.7,32748
2017-08-18,WVE,17.15,154660
2017-08-21,WVE,16.65,53463
2017-08-22,WVE,16.4,44970
2017-08-23,WVE,17.25,101097
2017-08-24,WVE,17.4,77210
2017-08-25,WVE,18.75,223906
2017-08-28,WVE,20.55,206479
2017-08-29,WVE,22.85,235933
2017-08-30,WVE,23.55,579294
2017-08-31,WVE,23.5,99680
2017-09-01,WVE,23.6,105125
2017-09-05,WVE,24.2,130135
2017-09-06,WVE,23.55,127232
2017-09-07,WVE,23.4,58831
2017-09-08,WVE,23.2,124191
2017-09-11,WVE,22.9,60402
2017-09-12,WVE,23.35,55405
2017-09-13,WVE,25.05,327194
2017-09-14,WVE,24.35,92243
2017-09-15,WVE,24.25,128848
2017-09-18,WVE,24.05,46698
2017-09-19,WVE,24.15,54831
2017-09-20,WVE,23.95,148023
2017-09-21,WVE,22.9,58891
2017-09-22,WVE,22.0,77931
2017-09-25,WVE,22.15,50016
2017-09-26,WVE,21.75,77042
2017-09-27,WVE,23.25,105569
2017-09-28,WVE,22.3,87047
2017-09-29,WVE,21.75,42102
2017-10-02,WVE,22.0,247600
2017-10-03,WVE,22.1,91111
2017-10-04,WVE,23.25,125655
2017-10-05,WVE,24.95,126755
2017-10-06,WVE,25.0,145638
2017-10-09,WVE,23.85,66500
2017-10-10,WVE,23.05,30179
2017-10-11,WVE,23.25,94990
2017-10-12,WVE,23.15,84586
2017-10-13,WVE,23.15,82534
2017-10-16,WVE,23.1,52190
2017-10-17,WVE,22.7,35510
2017-10-18,WVE,22.35,43718
2017-10-19,WVE,22.2,39084
2017-10-20,WVE,22.85,85665
2017-10-23,WVE,23.05,245227
2017-10-24,WVE,22.95,191820
2017-10-25,WVE,22.65,59889
2017-10-26,WVE,21.8,99170
2017-10-27,WVE,22.45,85506
2017-10-30,WVE,22.95,76972
2017-10-31,WVE,23.05,45667
2017-11-01,WVE,23.0,222230
2017-11-02,WVE,23.1,48144
2017-11-03,WVE,22.8,247840
2017-11-06,WVE,22.95,98903
2017-11-07,WVE,22.15,85811
2017-11-08,WVE,22.1,62509
2017-11-09,WVE,22.35,59699
2017-11-10,WVE,22.8,61836
2017-11-13,WVE,24.85,672278
2017-11-14,WVE,24.75,146394
2017-11-15,WVE,26.7,189925
2017-11-16,WVE,29.7,521595
2017-11-17,WVE,31.75,171835
2017-11-20,WVE,32.9,454286
2017-11-21,WVE,33.7,203265
2017-11-22,WVE,35.45,231205
2017-11-24,WVE,36.1,120253
2017-11-27,WVE,34.0,229177
2017-11-28,WVE,33.85,206071
2017-11-29,WVE,34.85,247108
2017-11-30,WVE,37.2,430502
2017-12-01,WVE,39.35,437935
2017-12-04,WVE,39.05,534447
2017-12-05,WVE,38.0,263390
2017-12-06,WVE,36.25,428502
2017-12-07,WVE,36.55,177680
2017-12-08,WVE,36.8,199051
2017-12-11,WVE,38.85,301954
2017-12-12,WVE,37.6,209462
2017-12-13,WVE,38.0,86741
2017-12-14,WVE,38.2,157862
2017-12-15,WVE,38.35,497525
2017-12-18,WVE,36.65,384411
2017-12-19,WVE,35.95,337022
2017-12-20,WVE,35.65,186183
2017-12-21,WVE,34.9,113087
2017-12-22,WVE,35.25,108609
2017-12-26,WVE,34.65,84555
2017-12-27,WVE,34.2,52505
2017-12-28,WVE,34.45,127534
2017-12-29,WVE,35.1,137825
2018-01-02,WVE,34.8,177628
2018-01-03,WVE,34.8,119385
2018-01-04,WVE,34.8,84191
2018-01-05,WVE,33.55,76478
2018-01-08,WVE,32.55,152432
2018-01-09,WVE,32.45,99842
2018-01-10,WVE,33.9,205270
2018-01-11,WVE,37.35,164442
2018-01-12,WVE,36.55,210157
2018-01-16,WVE,37.1,188965
2018-01-17,WVE,37.55,152188
2018-01-18,WVE,38.0,110420
2018-01-19,WVE,38.0,164216
2018-01-22,WVE,39.4,124568
2018-01-23,WVE,40.05,236091
2018-01-24,WVE,40.75,140290
2018-01-25,WVE,40.25,40434
2018-01-26,WVE,39.5,287167
2018-01-29,WVE,38.4,123348
2018-01-30,WVE,40.0,121511
2018-01-31,WVE,40.0,109365
2018-02-01,WVE,40.2,160492
2018-02-02,WVE,39.2,98581
2018-02-05,WVE,38.55,56959
2018-02-06,WVE,39.5,122040
2018-02-07,WVE,39.8,61790
2018-02-08,WVE,39.65,80498
2018-02-09,WVE,41.25,176429
2018-02-12,WVE,41.2,78854
2018-02-13,WVE,42.3,51137
2018-02-14,WVE,48.35,349112
2018-02-15,WVE,52.25,329460
2018-02-16,WVE,54.7,176782
2018-02-20,WVE,52.1,747520
2018-02-21,WVE,51.0,237365
2018-02-22,WVE,50.6,112162
2018-02-23,WVE,50.75,122276
2018-02-26,WVE,52.65,195323
2018-02-27,WVE,53.35,189805
2018-02-28,WVE,50.95,235112
2018-03-01,WVE,49.8,142469
2018-03-02,WVE,47.75,243522
2018-03-05,WVE,49.0,242779
2018-03-06,WVE,45.7,150026
2018-03-07,WVE,47.5,239064
2018-03-08,WVE,46.2,88957
2018-03-09,WVE,47.0,103950
2018-03-12,WVE,44.9,135796
2018-03-13,WVE,43.3,149429
2018-03-14,WVE,42.3,102785
2018-03-15,WVE,40.35,205486
2018-03-16,WVE,41.5,277921
