ds,symbol,close,volume
2017-09-27,XFLT,10.09,174855
2017-09-28,XFLT,10.15,254310
2017-09-29,XFLT,10.12,21289
2017-10-02,XFLT,10.15,30385
2017-10-03,XFLT,11.5,95883
2017-10-04,XFLT,10.7,13811
2017-10-05,XFLT,10.95,22734
2017-10-06,XFLT,10.95,25657
2017-10-09,XFLT,10.8,5300
2017-10-10,XFLT,10.93,38043
2017-10-11,XFLT,10.78,35159
2017-10-12,XFLT,11.05,3411
2017-10-13,XFLT,11.0,19188
2017-10-16,XFLT,10.8792,8500
2017-10-17,XFLT,11.05,33216
2017-10-18,XFLT,10.95,9980
2017-10-19,XFLT,10.9,3532
2017-10-20,XFLT,11.0,14250
2017-10-23,XFLT,10.93,8810
2017-10-24,XFLT,10.9995,12210
2017-10-25,XFLT,10.85,13046
2017-10-26,XFLT,10.8334,400
2017-10-27,XFLT,10.8124,1060
2017-10-30,XFLT,10.8492,7899
2017-10-31,XFLT,10.83,18866
2017-11-01,XFLT,10.84,10712
2017-11-02,XFLT,10.8,2625
2017-11-03,XFLT,10.13,110071
2017-11-06,XFLT,10.35,61603
2017-11-07,XFLT,10.15,39056
2017-11-08,XFLT,10.2,26975
2017-11-09,XFLT,10.2999,10000
2017-11-10,XFLT,10.28,14725
2017-11-13,XFLT,10.23,9610
2017-11-14,XFLT,10.0486,35957
2017-11-15,XFLT,10.0,26420
2017-11-16,XFLT,10.0699,18950
2017-11-17,XFLT,10.0626,6700
2017-11-20,XFLT,10.0,16670
2017-11-21,XFLT,10.0472,37100
2017-11-22,XFLT,9.99,16235
2017-11-24,XFLT,10.0341,300
2017-11-27,XFLT,9.95,7800
2017-11-28,XFLT,10.026,42500
2017-11-29,XFLT,9.99,28163
2017-11-30,XFLT,10.022,33868
2017-12-01,XFLT,10.001,12159
2017-12-04,XFLT,10.0,13117
2017-12-05,XFLT,9.85,38397
2017-12-06,XFLT,10.0,32663
2017-12-07,XFLT,9.95,22434
2017-12-08,XFLT,9.92,14208
2017-12-11,XFLT,9.94,16878
2017-12-12,XFLT,9.9,23772
2017-12-13,XFLT,9.87,7123
2017-12-14,XFLT,9.781,15071
2017-12-15,XFLT,9.91,7120
2017-12-18,XFLT,9.89,6381
2017-12-19,XFLT,9.89,3800
2017-12-20,XFLT,9.75,5721
2017-12-21,XFLT,9.56,31027
2017-12-22,XFLT,9.4899,26949
2017-12-26,XFLT,9.42,45344
2017-12-27,XFLT,9.36,82870
2017-12-28,XFLT,9.39,94445
2017-12-29,XFLT,9.4,43743
2018-01-02,XFLT,9.45,24662
2018-01-03,XFLT,9.56,21203
2018-01-04,XFLT,9.67,19443
2018-01-05,XFLT,9.68,10311
2018-01-08,XFLT,9.81,64211
2018-01-09,XFLT,9.82,132469
2018-01-10,XFLT,9.81,19263
2018-01-11,XFLT,9.81,7139
2018-01-12,XFLT,9.81,9920
2018-01-16,XFLT,9.85,27651
2018-01-17,XFLT,9.68,14584
2018-01-18,XFLT,9.7,6512
2018-01-19,XFLT,9.6806,7161
2018-01-22,XFLT,9.69,1045
2018-01-23,XFLT,9.94,47522
2018-01-24,XFLT,10.05,26367
2018-01-25,XFLT,10.02,7230
2018-01-26,XFLT,9.91,25903
2018-01-29,XFLT,9.82,19595
2018-01-30,XFLT,9.73,17521
2018-01-31,XFLT,9.7,7203
2018-02-01,XFLT,9.6924,12083
2018-02-02,XFLT,9.69,6364
2018-02-05,XFLT,9.5,13776
2018-02-06,XFLT,9.7,7186
2018-02-07,XFLT,9.7132,18106
2018-02-08,XFLT,9.699,18409
2018-02-09,XFLT,9.6401,12778
2018-02-12,XFLT,9.6874,21505
2018-02-13,XFLT,9.66,16539
2018-02-14,XFLT,9.69,16385
2018-02-15,XFLT,9.67,5759
2018-02-16,XFLT,9.66,1834
2018-02-20,XFLT,9.66,4252
2018-02-21,XFLT,9.66,6740
2018-02-22,XFLT,9.6148,11346
2018-02-23,XFLT,9.87,51745
2018-02-26,XFLT,9.77,9089
2018-02-27,XFLT,9.74,25378
2018-02-28,XFLT,9.73,11706
2018-03-01,XFLT,9.75,8401
2018-03-02,XFLT,9.68,8552
2018-03-05,XFLT,9.79,4861
2018-03-06,XFLT,9.7,28608
2018-03-07,XFLT,9.67,19365
2018-03-08,XFLT,9.731,18648
2018-03-09,XFLT,9.73,7552
2018-03-12,XFLT,9.71,15334
2018-03-13,XFLT,9.7,10997
2018-03-14,XFLT,9.68,9760
2018-03-15,XFLT,9.57,11300
2018-03-16,XFLT,9.65,16731
2018-03-19,XFLT,9.646,952
2018-03-20,XFLT,9.53,25789
2018-03-21,XFLT,9.5,27949
2018-03-22,XFLT,9.4564,2707
2018-03-23,XFLT,9.445,12066
2018-03-26,XFLT,9.46,20169
2018-03-27,XFLT,9.45,1900
2018-03-28,XFLT,9.42,32867
2018-03-29,XFLT,9.4499,21650
2018-04-02,XFLT,9.32,75521
2018-04-03,XFLT,9.33,53247
2018-04-04,XFLT,9.31,70728
2018-04-05,XFLT,9.35,47582
2018-04-06,XFLT,9.34,32371
2018-04-09,XFLT,9.33,46071
2018-04-10,XFLT,9.33,30686
2018-04-11,XFLT,9.32,48705
2018-04-12,XFLT,9.4,41102
2018-04-13,XFLT,9.3,29672
2018-04-16,XFLT,9.27,38770
2018-04-17,XFLT,9.26,27451
2018-04-18,XFLT,9.23,60712
2018-04-19,XFLT,9.195,40351
2018-04-20,XFLT,9.17,39184
2018-04-23,XFLT,9.16,77501
2018-04-24,XFLT,9.12,54599
2018-04-25,XFLT,9.07,68020
2018-04-26,XFLT,9.09,43217
2018-04-27,XFLT,9.08,92251
2018-04-30,XFLT,9.08,49265
2018-05-01,XFLT,9.09,13065
2018-05-02,XFLT,9.1268,11307
2018-05-03,XFLT,9.2612,58433
2018-05-04,XFLT,9.26,14654
2018-05-07,XFLT,9.27,10015
2018-05-08,XFLT,9.279,14375
2018-05-09,XFLT,9.281,2822
2018-05-10,XFLT,9.33,70763
2018-05-11,XFLT,9.28,22155
2018-05-14,XFLT,9.2242,23930
2018-05-15,XFLT,9.23,15600
2018-05-16,XFLT,9.21,14674
2018-05-17,XFLT,9.22,5150
2018-05-18,XFLT,9.23,28979
2018-05-21,XFLT,9.24,17540
2018-05-22,XFLT,9.25,13950
2018-05-23,XFLT,9.255,8000
2018-05-24,XFLT,9.2785,10564
2018-05-25,XFLT,9.27,13900
2018-05-29,XFLT,9.25,10391
2018-05-30,XFLT,9.28,24804
2018-05-31,XFLT,9.245,16921
2018-06-01,XFLT,9.23,23568
2018-06-04,XFLT,9.21,32042
2018-06-05,XFLT,9.24,11450
2018-06-06,XFLT,9.25,18582
2018-06-07,XFLT,9.3,8726
2018-06-08,XFLT,9.28,24602
2018-06-11,XFLT,9.34,18574
2018-06-12,XFLT,9.31,19486
2018-06-13,XFLT,9.3,9386
2018-06-14,XFLT,9.1951,16004
2018-06-15,XFLT,9.18,3701
2018-06-18,XFLT,9.15,15190
2018-06-19,XFLT,9.15,11630
2018-06-20,XFLT,9.1,9150
2018-06-21,XFLT,9.14,3600
2018-06-22,XFLT,9.13,19102
2018-06-25,XFLT,9.139,10001
2018-06-26,XFLT,9.13,8700
2018-06-27,XFLT,9.13,9101
2018-06-28,XFLT,9.117,9283
2018-06-29,XFLT,9.137,7225
2018-07-02,XFLT,9.14,8563
2018-07-03,XFLT,9.14,8548
2018-07-05,XFLT,9.16,9652
2018-07-06,XFLT,9.22,124984
2018-07-09,XFLT,9.3,356730
2018-07-10,XFLT,9.4,162400
2018-07-11,XFLT,9.7,104216
2018-07-12,XFLT,9.52,83557
2018-07-13,XFLT,9.55,55255
2018-07-16,XFLT,9.51,56449
2018-07-17,XFLT,9.59,102579
2018-07-18,XFLT,9.58,83358
2018-07-19,XFLT,9.59,59454
2018-07-20,XFLT,9.6,25768
2018-07-23,XFLT,9.59,39789
2018-07-24,XFLT,9.66,43199
2018-07-25,XFLT,9.68,9041
2018-07-26,XFLT,9.82,34918
2018-07-27,XFLT,9.93,29140
2018-07-30,XFLT,10.24,49195
2018-07-31,XFLT,10.07,94303
2018-08-01,XFLT,10.01,29301
2018-08-02,XFLT,10.01,31433
2018-08-03,XFLT,9.95,25251
2018-08-06,XFLT,10.02,23080
2018-08-07,XFLT,10.01,41842
2018-08-08,XFLT,9.98,32917
2018-08-09,XFLT,10.01,49778
2018-08-10,XFLT,10.1,23341
2018-08-13,XFLT,10.047,32784
2018-08-14,XFLT,9.93,23101
2018-08-15,XFLT,9.987,10733
2018-08-16,XFLT,9.96,14694
2018-08-17,XFLT,9.9739,18740
2018-08-20,XFLT,10.0,8439
2018-08-21,XFLT,10.0,25140
2018-08-22,XFLT,10.02,12215
