ds,symbol,close,volume
2014-06-24,XNET,14.9,10653232.0
2014-06-25,XNET,15.26,3570084.0
2014-06-26,XNET,15.14,1204459.0
2014-06-27,XNET,15.09,744448.0
2014-06-30,XNET,14.97,695691.0
2014-07-01,XNET,14.58,958036.0
2014-07-02,XNET,14.69,732364.0
2014-07-03,XNET,14.55,245623.0
2014-07-07,XNET,14.33,494502.0
2014-07-08,XNET,13.79,952138.0
2014-07-09,XNET,13.5,462320.0
2014-07-10,XNET,14.25,515887.0
2014-07-11,XNET,13.82,286570.0
2014-07-14,XNET,13.77,372057.0
2014-07-15,XNET,13.65,167794.0
2014-07-16,XNET,13.22,324624.0
2014-07-17,XNET,13.02,313420.0
2014-07-18,XNET,12.95,449971.0
2014-07-21,XNET,12.28,450967.0
2014-07-22,XNET,12.25,420795.0
2014-07-23,XNET,12.59,325374.0
2014-07-24,XNET,12.7,233362.0
2014-07-25,XNET,12.75,162486.0
2014-07-28,XNET,12.5,313356.0
2014-07-29,XNET,12.58,696238.0
2014-07-30,XNET,12.42,64156.0
2014-07-31,XNET,12.01,283049.0
2014-08-01,XNET,12.69,180318.0
2014-08-04,XNET,13.03,308339.0
2014-08-05,XNET,12.81,148965.0
2014-08-06,XNET,12.77,143402.0
2014-08-07,XNET,13.3,363862.0
2014-08-08,XNET,13.23,257756.0
2014-08-11,XNET,12.95,205053.0
2014-08-12,XNET,12.9,80501.0
2014-08-13,XNET,12.62,110407.0
2014-08-14,XNET,12.26,161177.0
2014-08-15,XNET,12.11,230180.0
2014-08-18,XNET,12.03,221319.0
2014-08-19,XNET,11.36,580965.0
2014-08-20,XNET,10.39,1891453.0
2014-08-21,XNET,11.83,1860457.0
2014-08-22,XNET,11.87,659712.0
2014-08-25,XNET,11.39,485411.0
2014-08-26,XNET,11.06,432442.0
2014-08-27,XNET,10.87,436491.0
2014-08-28,XNET,11.2,450903.0
2014-08-29,XNET,11.23,126055.0
2014-09-02,XNET,11.48,255537.0
2014-09-03,XNET,11.48,204413.0
2014-09-04,XNET,12.08,1007980.0
2014-09-05,XNET,13.33,1415828.0
2014-09-08,XNET,13.85,772949.0
2014-09-09,XNET,13.88,910839.0
2014-09-10,XNET,13.35,325187.0
2014-09-11,XNET,13.15,505683.0
2014-09-12,XNET,12.8,473167.0
2014-09-15,XNET,12.25,511365.0
2014-09-16,XNET,12.06,441241.0
2014-09-17,XNET,11.8,470664.0
2014-09-18,XNET,11.5,636626.0
2014-09-19,XNET,11.51,290619.0
2014-09-22,XNET,11.14,247761.0
2014-09-23,XNET,11.16,106754.0
2014-09-24,XNET,11.3,268561.0
2014-09-25,XNET,10.92,364030.0
2014-09-26,XNET,10.5,267020.0
2014-09-29,XNET,11.01,177805.0
2014-09-30,XNET,10.75,145338.0
2014-10-01,XNET,10.68,176517.0
2014-10-02,XNET,10.92,137904.0
2014-10-03,XNET,11.24,196387.0
2014-10-06,XNET,11.17,180232.0
2014-10-07,XNET,10.74,94119.0
2014-10-08,XNET,10.74,134362.0
2014-10-09,XNET,10.5544,71549.0
2014-10-10,XNET,10.16,171414.0
2014-10-13,XNET,9.89,195903.0
2014-10-14,XNET,10.01,77362.0
2014-10-15,XNET,10.155,99278.0
2014-10-16,XNET,10.28,66372.0
2014-10-17,XNET,10.05,156225.0
2014-10-20,XNET,9.98,131584.0
2014-10-21,XNET,10.56,135995.0
2014-10-22,XNET,10.44,154220.0
2014-10-23,XNET,9.98,301443.0
2014-10-24,XNET,9.77,167971.0
2014-10-27,XNET,9.01,286042.0
2014-10-28,XNET,9.34,114574.0
2014-10-29,XNET,9.03,103993.0
2014-10-30,XNET,8.84,141770.0
2014-10-31,XNET,9.0,164906.0
2014-11-03,XNET,9.22,136666.0
2014-11-04,XNET,9.82,216364.0
2014-11-05,XNET,9.62,174478.0
2014-11-06,XNET,9.53,47724.0
2014-11-07,XNET,9.65,126783.0
2014-11-10,XNET,9.87,124613.0
2014-11-11,XNET,9.7,76737.0
2014-11-12,XNET,9.8,62536.0
2014-11-13,XNET,9.65,66884.0
2014-11-14,XNET,10.14,123075.0
2014-11-17,XNET,10.39,175534.0
2014-11-18,XNET,10.48,88161.0
2014-11-19,XNET,10.77,139977.0
2014-11-20,XNET,9.93,227171.0
2014-11-21,XNET,9.72,203806.0
2014-11-24,XNET,9.54,157096.0
2014-11-25,XNET,9.24,261888.0
2014-11-26,XNET,8.59,431949.0
2014-11-28,XNET,8.67,157008.0
2014-12-01,XNET,8.55,123967.0
2014-12-02,XNET,8.57,154074.0
2014-12-03,XNET,8.73,87513.0
2014-12-04,XNET,8.31,169052.0
2014-12-05,XNET,8.06,522100.0
2014-12-08,XNET,7.55,293077.0
2014-12-09,XNET,7.25,271820.0
2014-12-10,XNET,7.04,146496.0
2014-12-11,XNET,7.33,230588.0
2014-12-12,XNET,7.53,698597.0
2014-12-15,XNET,7.8,379274.0
2014-12-16,XNET,7.69,121962.0
2014-12-17,XNET,7.14,107001.0
2014-12-18,XNET,7.03,631018.0
2014-12-19,XNET,6.6,908840.0
2014-12-22,XNET,7.89,502326.0
2014-12-23,XNET,7.1,516864.0
2014-12-24,XNET,7.31,171004.0
2014-12-26,XNET,7.19,158327.0
2014-12-29,XNET,7.13,143375.0
2014-12-30,XNET,7.32,243532.0
2014-12-31,XNET,7.3,95748.0
2015-01-02,XNET,8.0,135656
2015-01-05,XNET,8.34,166362
2015-01-06,XNET,8.17,166697
2015-01-07,XNET,8.47,372461
2015-01-08,XNET,8.3,445914
2015-01-09,XNET,8.46,331053
2015-01-12,XNET,8.41,234109
2015-01-13,XNET,8.19,155211
2015-01-14,XNET,8.27,164765
2015-01-15,XNET,7.92,106519
2015-01-16,XNET,7.95,98165
2015-01-20,XNET,7.5,184556
2015-01-21,XNET,7.335,86682
2015-01-22,XNET,7.43,49033
2015-01-23,XNET,7.97,85024
2015-01-26,XNET,8.01,56299
2015-01-27,XNET,8.14,38309
2015-01-28,XNET,7.93,146392
2015-01-29,XNET,7.55,140363
2015-01-30,XNET,7.42,62030
2015-02-02,XNET,7.59,34430
2015-02-03,XNET,7.3,67027
2015-02-04,XNET,7.64,40100
2015-02-05,XNET,7.43,93670
2015-02-06,XNET,7.67,76086
2015-02-09,XNET,7.66,21477
2015-02-10,XNET,7.59,46073
2015-02-11,XNET,7.61,97288
2015-02-12,XNET,7.7,28557
2015-02-13,XNET,7.93,36007
2015-02-17,XNET,7.6,49610
2015-02-18,XNET,7.48,74947
2015-02-19,XNET,7.35,29557
2015-02-20,XNET,7.25,90837
2015-02-23,XNET,7.13,94951
2015-02-24,XNET,7.12,31046
2015-02-25,XNET,7.01,151839
2015-02-26,XNET,6.92,107779
2015-02-27,XNET,6.8,116680
2015-03-02,XNET,6.8,82801
2015-03-03,XNET,6.76,158729
2015-03-04,XNET,6.85,85309
2015-03-05,XNET,6.85,127075
2015-03-06,XNET,6.91,147042
2015-03-09,XNET,6.7,168287
2015-03-10,XNET,6.42,141750
2015-03-11,XNET,6.4,224985
2015-03-12,XNET,6.52,213304
2015-03-13,XNET,6.76,159288
2015-03-16,XNET,6.39,122389
2015-03-17,XNET,6.3,177818
2015-03-18,XNET,5.94,272231
2015-03-19,XNET,6.74,325502
2015-03-20,XNET,6.56,49114
2015-03-23,XNET,6.36,123805
2015-03-24,XNET,6.52,94002
2015-03-25,XNET,6.38,41243
2015-03-26,XNET,6.22,47209
2015-03-27,XNET,6.55,65267
2015-03-30,XNET,6.34,81333
2015-03-31,XNET,6.37,59972
2015-04-01,XNET,6.36,72925
2015-04-02,XNET,6.35,62649
2015-04-06,XNET,6.42,67984
2015-04-07,XNET,6.65,152973
2015-04-08,XNET,7.07,472942
2015-04-09,XNET,7.25,318061
2015-04-10,XNET,7.0,183697
2015-04-13,XNET,7.15,133769
2015-04-14,XNET,7.02,186200
2015-04-15,XNET,7.41,195542
2015-04-16,XNET,7.57,232616
2015-04-17,XNET,7.6,183922
2015-04-20,XNET,7.56,63485
2015-04-21,XNET,7.77,179167
2015-04-22,XNET,7.94,104215
2015-04-23,XNET,7.88,71218
2015-04-24,XNET,8.02,106780
2015-04-27,XNET,8.5,387399
2015-04-28,XNET,8.9,381845
2015-04-29,XNET,8.86,157691
2015-04-30,XNET,8.7,99987
2015-05-01,XNET,8.56,96411
2015-05-04,XNET,8.3,196384
2015-05-05,XNET,7.96,153045
2015-05-06,XNET,7.78,167932
2015-05-07,XNET,8.07,272952
2015-05-08,XNET,7.83,78771
2015-05-11,XNET,8.29,155283
2015-05-12,XNET,8.21,111091
2015-05-13,XNET,9.62,895603
2015-05-14,XNET,9.89,488646
2015-05-15,XNET,10.54,519959
2015-05-18,XNET,10.52,514970
2015-05-19,XNET,10.64,424111
2015-05-20,XNET,11.4,1359690
2015-05-21,XNET,9.71,1975408
2015-05-22,XNET,9.61,576587
2015-05-26,XNET,10.1,1833608
2015-05-27,XNET,10.08,746792
2015-05-28,XNET,9.95,459024
2015-05-29,XNET,9.8,265658
2015-06-01,XNET,10.0,180265
2015-06-02,XNET,9.99,254135
2015-06-03,XNET,10.83,763502
2015-06-04,XNET,11.22,836928
2015-06-05,XNET,11.38,631819
2015-06-08,XNET,10.44,718165
2015-06-09,XNET,10.23,517109
2015-06-10,XNET,11.38,1289600
2015-06-11,XNET,11.97,1353511
2015-06-12,XNET,13.7,2946740
2015-06-15,XNET,12.8,996301
2015-06-16,XNET,12.16,797633
2015-06-17,XNET,13.48,1973556
2015-06-18,XNET,13.73,784259
2015-06-19,XNET,13.4,540491
2015-06-22,XNET,13.55,383668
2015-06-23,XNET,14.05,614486
2015-06-24,XNET,13.68,374045
2015-06-25,XNET,13.6,302555
2015-06-26,XNET,12.13,1216701
2015-06-29,XNET,11.48,1156598
2015-06-30,XNET,12.04,891093
2015-07-01,XNET,11.75,252472
2015-07-02,XNET,11.46,400330
2015-07-06,XNET,10.02,1007594
2015-07-07,XNET,9.11,1475503
