ds,symbol,close,volume
2003-10-07,XPO,1.7292696879,36720
2003-10-08,XPO,1.7292696879,7228
2003-10-09,XPO,1.7292696879,20818
2003-10-10,XPO,1.7984404754,5493
2003-10-13,XPO,1.8399429479,19950
2003-10-14,XPO,1.7984404754,289
2003-10-15,XPO,1.8537771054,7228
2003-10-16,XPO,1.8676112629,43081
2003-10-17,XPO,1.7569380029,6939
2003-10-20,XPO,2.4071434056,93102
2003-10-21,XPO,2.0751236255,29203
2003-10-22,XPO,1.9367820505,130980
2003-10-23,XPO,1.8676112629,5782
2003-10-24,XPO,1.9367820505,8674
2003-10-27,XPO,1.8952795779,4337
2003-10-28,XPO,1.8952795779,289
2003-10-29,XPO,1.8952795779,69393
2003-10-30,XPO,2.282635988,32094
2003-10-31,XPO,2.144294413,6361
2003-11-03,XPO,1.9921186805,15613
2003-11-04,XPO,1.9367820505,289
2003-11-05,XPO,1.8676112629,8385
2003-11-06,XPO,1.9367820505,22842
2003-11-07,XPO,1.9367820505,578
2003-11-10,XPO,1.9367820505,578
2003-11-11,XPO,2.0751236255,2313
2003-11-12,XPO,2.005952838,867
2003-11-13,XPO,2.005952838,0
2003-11-14,XPO,1.7984404754,578
2003-11-17,XPO,1.9367820505,15035
2003-11-18,XPO,1.978284523,14167
2003-11-19,XPO,1.9367820505,8385
2003-11-20,XPO,1.8122746329,867
2003-11-21,XPO,1.7984404754,0
2003-11-24,XPO,1.9367820505,289
2003-11-25,XPO,1.7984404754,867
2003-11-26,XPO,1.7984404754,1445
2003-11-28,XPO,1.7984404754,578
2003-12-01,XPO,1.7984404754,1734
2003-12-02,XPO,1.7984404754,0
2003-12-03,XPO,1.7984404754,0
2003-12-04,XPO,1.7984404754,0
2003-12-05,XPO,1.7984404754,0
2003-12-08,XPO,1.8261087904,6361
2003-12-09,XPO,1.8261087904,1445
2003-12-10,XPO,1.8399429479,30359
2003-12-11,XPO,1.8261087904,289
2003-12-12,XPO,1.8261087904,6071
2003-12-15,XPO,1.8676112629,3180
2003-12-16,XPO,1.8676112629,578
2003-12-17,XPO,1.8261087904,0
2003-12-18,XPO,1.8261087904,0
2003-12-19,XPO,1.8261087904,2891
2003-12-22,XPO,1.8399429479,4337
2003-12-23,XPO,1.7984404754,578
2003-12-24,XPO,1.7984404754,0
2003-12-26,XPO,1.8952795779,2891
2003-12-29,XPO,1.922947893,10119
2003-12-30,XPO,1.922947893,0
2003-12-31,XPO,1.9091137355,578
2004-01-02,XPO,1.8122746329,289
2004-01-05,XPO,1.8122746329,2023
2004-01-06,XPO,1.8676112629,292609
2004-01-07,XPO,2.0751236255,105825
2004-01-08,XPO,2.8636706032,376459
2004-01-09,XPO,2.8636706032,180133
2004-01-12,XPO,3.1818562258,130112
2004-01-13,XPO,3.1265195957,63032
2004-01-14,XPO,3.0850171232,35853
2004-01-15,XPO,3.2510270133,29492
2004-01-16,XPO,3.2786953283,28046
2004-01-20,XPO,3.2786953283,36142
2004-01-21,XPO,3.2095245408,28046
2004-01-22,XPO,2.9743438632,23998
2004-01-23,XPO,2.7668315007,34985
2004-01-26,XPO,3.0158463357,58695
2004-01-27,XPO,3.1680220682,69682
2004-01-28,XPO,3.7905591559,132136
2004-01-29,XPO,3.7352225259,58695
2004-01-30,XPO,3.7905591559,13589
2004-02-02,XPO,3.7628908409,15035
2004-02-03,XPO,3.7352225259,34985
2004-02-04,XPO,3.7352225259,4337
2004-02-05,XPO,3.6660517384,15324
2004-02-06,XPO,3.5968809508,3758
2004-02-09,XPO,3.6522175809,20818
2004-02-10,XPO,3.6522175809,19661
2004-02-11,XPO,3.6522175809,4337
2004-02-12,XPO,3.3893685883,45105
2004-02-13,XPO,3.3755344308,5493
2004-02-17,XPO,3.3617002733,17059
2004-02-18,XPO,3.0988512807,70839
2004-02-19,XPO,2.9743438632,4626
2004-02-20,XPO,3.1126854382,3180
2004-02-23,XPO,2.9328413907,25733
2004-02-24,XPO,3.0158463357,16480
2004-02-25,XPO,3.1126854382,5493
2004-02-26,XPO,3.1126854382,4337
2004-02-27,XPO,3.2510270133,16480
2004-03-01,XPO,3.1818562258,867
2004-03-02,XPO,3.0435146507,2313
2004-03-03,XPO,3.1818562258,2891
2004-03-04,XPO,3.1818562258,0
2004-03-05,XPO,3.2233586983,9541
2004-03-08,XPO,3.2233586983,0
2004-03-09,XPO,2.9743438632,14456
2004-03-10,XPO,2.9605097057,578
2004-03-11,XPO,3.3063636433,29781
2004-03-12,XPO,3.3755344308,13589
2004-03-15,XPO,3.2510270133,15035
2004-03-16,XPO,3.1818562258,6071
2004-03-17,XPO,3.1126854382,578
2004-03-18,XPO,3.5968809508,54069
2004-03-19,XPO,3.4862076908,2602
2004-03-22,XPO,3.1818562258,8963
2004-03-23,XPO,2.9051730757,5782
2004-03-24,XPO,3.1126854382,12432
2004-03-25,XPO,3.1126854382,0
2004-03-26,XPO,3.2371928558,15035
2004-03-29,XPO,3.2510270133,1445
2004-03-30,XPO,3.2510270133,0
2004-03-31,XPO,2.9605097057,93970
2004-04-01,XPO,2.9051730757,2023
2004-04-02,XPO,2.9051730757,2891
2004-04-05,XPO,3.0435146507,578
2004-04-06,XPO,2.9743438632,2023
2004-04-07,XPO,2.9466755482,3180
2004-04-08,XPO,3.0435146507,13589
2004-04-12,XPO,2.9881780207,9830
2004-04-13,XPO,3.0435146507,23420
2004-04-14,XPO,3.0573488082,18794
2004-04-15,XPO,3.4585393758,68526
2004-04-16,XPO,3.2510270133,12722
2004-04-19,XPO,3.1818562258,4337
2004-04-20,XPO,3.3201978008,26600
2004-04-21,XPO,3.5138760058,72284
2004-04-22,XPO,3.5553784783,15035
2004-04-23,XPO,3.5968809508,5782
2004-04-26,XPO,3.5138760058,25444
2004-04-27,XPO,3.5277101633,1445
2004-04-28,XPO,3.5692126358,5493
2004-04-29,XPO,3.5415443208,24287
2004-04-30,XPO,3.5277101633,4047
2004-05-03,XPO,3.5277101633,8963
2004-05-04,XPO,3.5277101633,7228
2004-05-05,XPO,3.5415443208,1734
2004-05-06,XPO,3.5277101633,11565
2004-05-07,XPO,3.5138760058,9830
2004-05-10,XPO,3.4723735333,23998
2004-05-11,XPO,3.2510270133,31805
2004-05-12,XPO,3.1818562258,26311
2004-05-13,XPO,3.1956903833,5493
2004-05-14,XPO,3.1126854382,1734
2004-05-17,XPO,3.1126854382,1734
2004-05-18,XPO,3.0435146507,1156
2004-05-19,XPO,3.0158463357,5782
2004-05-20,XPO,2.6284899256,10698
2004-05-21,XPO,2.7806656582,7517
2004-05-24,XPO,2.7668315007,1445
2004-05-25,XPO,2.6976607131,1734
2004-05-26,XPO,2.6284899256,9252
2004-05-27,XPO,2.6284899256,4626
2004-05-28,XPO,2.6976607131,9541
2004-06-01,XPO,2.4901483506,38744
2004-06-02,XPO,2.4209775631,6361
2004-06-03,XPO,2.3933092481,11565
2004-06-04,XPO,2.4209775631,8385
2004-06-07,XPO,2.4901483506,2891
2004-06-08,XPO,2.4209775631,8385
2004-06-09,XPO,2.3518067756,3180
2004-06-10,XPO,2.254967673,11565
2004-06-14,XPO,2.005952838,16191
2004-06-15,XPO,2.1027919405,15035
2004-06-16,XPO,2.0474553105,162207
2004-06-17,XPO,1.9644503655,99463
2004-06-18,XPO,1.978284523,16480
2004-06-21,XPO,2.144294413,38744
2004-06-22,XPO,2.254967673,34696
2004-06-23,XPO,2.144294413,7517
2004-06-24,XPO,2.3794750906,193723
2004-06-25,XPO,2.2964701455,45105
2004-06-28,XPO,2.3518067756,5493
2004-06-29,XPO,2.171962728,13300
2004-06-30,XPO,2.2411335155,12143
2004-07-01,XPO,2.144294413,10409
2004-07-02,XPO,2.1304602555,15035
2004-07-06,XPO,2.171962728,289
2004-07-07,XPO,2.1027919405,22263
2004-07-08,XPO,2.0751236255,32383
2004-07-09,XPO,2.0751236255,9541
2004-07-12,XPO,2.005952838,76332
2004-07-13,XPO,1.9091137355,21685
2004-07-14,XPO,1.7016013729,101198
2004-07-15,XPO,1.7154355304,56960
2004-07-16,XPO,1.7431038454,5493
2004-07-19,XPO,1.5909281129,68815
2004-07-20,XPO,1.5909281129,21396
2004-07-21,XPO,1.6600989004,23998
2004-07-22,XPO,1.7846063179,131269
2004-07-23,XPO,1.5909281129,35564
2004-07-26,XPO,1.6324305854,14746
2004-07-27,XPO,1.5632597979,289
2004-07-28,XPO,1.6600989004,71995
2004-07-29,XPO,1.6600989004,59562
2004-07-30,XPO,1.6462647429,8674
2004-08-02,XPO,1.6877672154,82983
2004-08-03,XPO,1.6877672154,14746
2004-08-04,XPO,1.6324305854,7228
2004-08-05,XPO,1.5632597979,34985
2004-08-06,XPO,1.4664206953,14456
2004-08-09,XPO,1.4940890104,22552
2004-08-10,XPO,1.4525865378,19372
2004-08-11,XPO,1.6324305854,83561
2004-08-12,XPO,1.6324305854,106692
2004-08-13,XPO,1.6877672154,71417
2004-08-16,XPO,1.5494256404,24865
2004-08-17,XPO,1.6600989004,102644
2004-08-18,XPO,1.5355914829,9252
2004-08-19,XPO,1.4940890104,35853
2004-08-20,XPO,1.5909281129,10698
2004-08-23,XPO,1.5909281129,1445
2004-08-24,XPO,1.5909281129,8963
2004-08-25,XPO,1.5770939554,6361
2004-08-26,XPO,1.5909281129,6361
2004-08-27,XPO,1.5909281129,2313
2004-08-30,XPO,1.5355914829,10987
2004-08-31,XPO,1.4940890104,16191
2004-09-01,XPO,1.4940890104,17059
2004-09-02,XPO,1.4387523803,7806
2004-09-03,XPO,1.4940890104,41636
2004-09-07,XPO,1.4525865378,48286
2004-09-08,XPO,1.4110840653,531149
2004-09-09,XPO,1.6185964279,167989
2004-09-10,XPO,1.6185964279,230444
2004-09-13,XPO,1.5632597979,36431
2004-09-14,XPO,1.6185964279,56382
2004-09-15,XPO,1.6600989004,31227
2004-09-16,XPO,1.6462647429,24865
2004-09-17,XPO,1.6185964279,69393
2004-09-20,XPO,1.7292696879,260803
2004-09-21,XPO,1.8676112629,204999
2004-09-22,XPO,1.7707721604,39612
2004-09-23,XPO,1.6739330579,101198
2004-09-24,XPO,1.6600989004,55803
2004-09-27,XPO,1.5909281129,12432
2004-09-28,XPO,1.6877672154,44816
2004-09-29,XPO,1.5909281129,45973
2004-09-30,XPO,1.5217573254,81537
2004-10-01,XPO,1.4110840653,142545
2004-10-04,XPO,1.6185964279,99463
2004-10-05,XPO,1.5909281129,19661
2004-10-06,XPO,1.5494256404,128088
2004-10-07,XPO,1.4525865378,16191
2004-10-08,XPO,1.5079231679,2891
2004-10-11,XPO,1.4387523803,40190
2004-10-12,XPO,1.3834157503,64478
2004-10-13,XPO,1.3834157503,207891
2004-10-14,XPO,1.5217573254,3758
2004-10-15,XPO,1.3834157503,27468
2004-10-18,XPO,1.4940890104,9252
2004-10-19,XPO,1.4802548528,32672
2004-10-20,XPO,1.4249182228,102066
2004-10-21,XPO,1.4940890104,4047
2004-10-22,XPO,1.4249182228,74019
2004-10-25,XPO,1.4110840653,32672
2004-10-26,XPO,1.3972499078,16480
2004-10-27,XPO,1.3972499078,41925
2004-10-28,XPO,1.4110840653,38455
2004-10-29,XPO,1.4387523803,77778
2004-11-01,XPO,1.4110840653,28624
2004-11-02,XPO,1.4110840653,159894
2004-11-03,XPO,1.3972499078,19661
2004-11-04,XPO,1.3695815928,50599
2004-11-05,XPO,1.3972499078,29492
2004-11-08,XPO,1.5494256404,159315
2004-11-09,XPO,1.7016013729,248949
2004-11-10,XPO,1.6462647429,58984
2004-11-11,XPO,1.6185964279,21685
2004-11-12,XPO,1.5632597979,135895
2004-11-15,XPO,1.4664206953,76911
2004-11-16,XPO,1.4802548528,224083
2004-11-17,XPO,1.3972499078,215408
2004-11-18,XPO,1.4387523803,89922
2004-11-19,XPO,1.4664206953,29203
2004-11-22,XPO,1.4802548528,75754
2004-11-23,XPO,1.4525865378,11854
2004-11-24,XPO,1.5217573254,69971
2004-11-26,XPO,1.5632597979,11276
2004-11-29,XPO,1.6047622704,10987
2004-11-30,XPO,1.5632597979,30937
2004-12-01,XPO,1.5079231679,56382
2004-12-02,XPO,1.5632597979,14456
2004-12-03,XPO,1.5217573254,19661
2004-12-06,XPO,1.5494256404,14746
2004-12-07,XPO,1.5770939554,61875
2004-12-08,XPO,1.5909281129,31805
2004-12-09,XPO,1.5909281129,5204
2004-12-10,XPO,1.5632597979,27757
2004-12-13,XPO,1.5632597979,34118
2004-12-14,XPO,1.5494256404,8385
2004-12-15,XPO,1.5770939554,38455
2004-12-16,XPO,1.5909281129,60719
2004-12-17,XPO,1.7016013729,151798
2004-12-20,XPO,1.8261087904,216854
2004-12-21,XPO,1.922947893,316318
2004-12-22,XPO,1.8676112629,30648
2004-12-23,XPO,1.8537771054,16191
2004-12-27,XPO,1.8537771054,17348
2004-12-28,XPO,1.9921186805,82115
2004-12-29,XPO,2.0751236255,91368
2004-12-30,XPO,2.144294413,77200
2004-12-31,XPO,2.0751236255,30937
2005-01-03,XPO,1.9921186805,40479
2005-01-04,XPO,1.7569380029,80380
2005-01-05,XPO,1.7984404754,43370
2005-01-06,XPO,1.7984404754,33251
2005-01-07,XPO,1.7984404754,24576
2005-01-10,XPO,1.6185964279,34696
2005-01-11,XPO,1.6600989004,57538
