ds,symbol,close,volume
1990-01-02,XRX,25.36232,572666
1990-01-03,XRX,25.581905,806969
1990-01-04,XRX,25.636803,457677
1990-01-05,XRX,25.6917,454945
1990-01-08,XRX,25.527008,352252
1990-01-09,XRX,25.142733,282803
1990-01-10,XRX,24.923143,385724
1990-01-11,XRX,24.978041,238857
1990-01-12,XRX,24.593763,401891
1990-01-15,XRX,24.429073,267775
1990-01-16,XRX,24.538868,490694
1990-01-17,XRX,24.483971,414869
1990-01-18,XRX,24.538868,642797
1990-01-19,XRX,24.703556,706553
1990-01-22,XRX,24.374178,562874
1990-01-23,XRX,24.044796,843856
1990-01-24,XRX,23.880104,530996
1990-01-25,XRX,23.660519,522116
1990-01-26,XRX,23.495829,550806
1990-01-29,XRX,23.386034,385496
1990-01-30,XRX,23.331137,355895
1990-01-31,XRX,24.374178,1022373
1990-02-01,XRX,24.154589,1071329
1990-02-02,XRX,24.319281,641886
1990-02-05,XRX,24.319281,372973
1990-02-06,XRX,24.264383,418057
1990-02-07,XRX,24.374178,467468
1990-02-08,XRX,24.044796,694713
1990-02-09,XRX,23.935001,373883
1990-02-12,XRX,23.550726,224285
1990-02-13,XRX,23.495829,326750
1990-02-14,XRX,22.727274,835204
1990-02-15,XRX,21.848925,1766041
1990-02-16,XRX,22.06851,1082941
1990-02-20,XRX,22.123407,657825
1990-02-21,XRX,22.507687,1141460
1990-02-22,XRX,22.452789,960211
1990-02-23,XRX,22.507687,415553
1990-02-26,XRX,22.562582,694030
1990-02-27,XRX,22.837067,642114
1990-02-28,XRX,22.617479,1034213
1990-03-01,XRX,22.891962,292139
1990-03-02,XRX,23.331137,547391
1990-03-05,XRX,23.276241,298742
1990-03-06,XRX,23.715414,419423
1990-03-07,XRX,23.605621,464280
1990-03-08,XRX,24.264383,700178
1990-03-09,XRX,24.044796,689703
1990-03-12,XRX,24.044796,496614
1990-03-13,XRX,24.044796,1015314
1990-03-14,XRX,24.099693,556954
1990-03-15,XRX,24.483971,525076
1990-03-16,XRX,24.648661,604088
1990-03-19,XRX,24.758453,324700
1990-03-20,XRX,24.758453,827006
1990-03-21,XRX,24.648661,298515
1990-03-22,XRX,24.374178,586555
1990-03-23,XRX,24.374178,200604
1990-03-26,XRX,24.429073,293505
1990-03-27,XRX,24.593763,186486
1990-03-28,XRX,24.703556,253886
1990-03-29,XRX,24.593763,262766
1990-03-30,XRX,24.429073,336768
1990-04-02,XRX,24.319281,318325
1990-04-03,XRX,24.319281,343827
1990-04-04,XRX,24.483971,770309
1990-04-05,XRX,24.264383,304435
1990-04-06,XRX,23.989899,373656
1990-04-09,XRX,24.044796,209712
