ds,symbol,close,volume
2018-10-25,YETI,17.0,9911725
2018-10-26,YETI,16.45,2498250
2018-10-29,YETI,15.41,1631303
2018-10-30,YETI,15.26,1135876
2018-10-31,YETI,15.93,1819589
2018-11-01,YETI,16.16,708829
2018-11-02,YETI,16.5,712013
2018-11-05,YETI,17.01,525676
2018-11-06,YETI,17.2,704482
2018-11-07,YETI,16.65,465751
2018-11-08,YETI,16.31,254464
2018-11-09,YETI,16.51,800094
2018-11-12,YETI,16.53,366492
2018-11-13,YETI,16.75,402672
2018-11-14,YETI,16.89,322366
2018-11-15,YETI,16.89,444738
2018-11-16,YETI,17.02,410878
2018-11-19,YETI,17.57,2743996
2018-11-20,YETI,17.48,3056117
2018-11-21,YETI,18.12,2639637
2018-11-23,YETI,18.09,853283
2018-11-26,YETI,17.92,1167186
2018-11-27,YETI,18.08,1091648
2018-11-28,YETI,19.2,1943652
2018-11-29,YETI,16.1,6776643
2018-11-30,YETI,16.84,2185893
2018-12-03,YETI,17.01,1277935
2018-12-04,YETI,16.87,958610
2018-12-06,YETI,16.83,1034376
2018-12-07,YETI,15.44,859847
2018-12-10,YETI,15.13,988205
2018-12-11,YETI,14.85,801477
2018-12-12,YETI,13.9,1176206
2018-12-13,YETI,13.05,1631346
2018-12-14,YETI,13.77,812160
2018-12-17,YETI,13.25,821844
2018-12-18,YETI,13.75,625717
2018-12-19,YETI,13.56,522235
2018-12-20,YETI,12.98,660265
2018-12-21,YETI,12.78,3338186
2018-12-24,YETI,12.51,242137
2018-12-26,YETI,14.1,865464
2018-12-27,YETI,14.22,507603
2018-12-28,YETI,14.82,475036
2018-12-31,YETI,14.84,515057
2019-01-02,YETI,16.17,1041034
2019-01-03,YETI,15.04,875766
2019-01-04,YETI,15.3,469445
2019-01-07,YETI,16.26,663665
2019-01-08,YETI,16.83,897961
2019-01-09,YETI,16.71,706680
2019-01-10,YETI,16.35,853128
2019-01-11,YETI,16.72,726534
2019-01-14,YETI,18.14,4198300
2019-01-15,YETI,17.55,1580782
2019-01-16,YETI,17.5,986441
2019-01-17,YETI,18.09,1298503
2019-01-18,YETI,18.08,752589
2019-01-22,YETI,17.17,1422493
2019-01-23,YETI,17.53,1087250
2019-01-24,YETI,17.91,652054
2019-01-25,YETI,17.75,665103
2019-01-28,YETI,17.69,495512
2019-01-29,YETI,16.77,1118066
2019-01-30,YETI,16.82,1427935
2019-01-31,YETI,17.01,627017
2019-02-01,YETI,16.8,1122522
2019-02-04,YETI,17.07,998305
2019-02-05,YETI,17.54,1012739
2019-02-06,YETI,17.77,419907
2019-02-07,YETI,17.67,525603
2019-02-08,YETI,17.92,516102
2019-02-11,YETI,17.82,627329
2019-02-12,YETI,18.48,877428
2019-02-13,YETI,18.66,1056803
2019-02-14,YETI,21.9,6440093
2019-02-15,YETI,22.84,3291460
2019-02-19,YETI,23.89,3550856
2019-02-20,YETI,23.16,3189878
2019-02-21,YETI,23.64,1666887
2019-02-22,YETI,24.47,1048566
2019-02-25,YETI,23.62,1054027
2019-02-26,YETI,23.14,1005092
2019-02-27,YETI,24.22,1285130
