ds,symbol,close,volume
2015-08-03,Z,76.5,2287088
2015-08-04,Z,74.2,3719932
2015-08-05,Z,72.42,6897013
2015-08-06,Z,76.0,2165406
2015-08-07,Z,74.52,1411619
2015-08-10,Z,74.92,1520994
2015-08-11,Z,72.82,1139604
2015-08-12,Z,74.49,1544345
2015-08-13,Z,74.96,1325154
2015-08-14,Z,73.21,945869
2015-08-17,Z,24.8,2091599
2015-08-18,Z,26.06,3141062
2015-08-19,Z,26.77,1750385
2015-08-20,Z,25.17,1584906
2015-08-21,Z,25.18,3243563
2015-08-24,Z,24.37,3408162
2015-08-25,Z,24.6,2027545
2015-08-26,Z,25.0,2088690
2015-08-27,Z,25.16,1641535
2015-08-28,Z,24.86,829296
2015-08-31,Z,24.66,1157564
2015-09-01,Z,24.43,915228
2015-09-02,Z,25.32,1687708
2015-09-03,Z,25.51,903560
2015-09-04,Z,25.07,733021
2015-09-08,Z,25.24,713285
2015-09-09,Z,25.07,1404680
2015-09-10,Z,25.45,1083873
2015-09-11,Z,25.87,1498527
2015-09-14,Z,26.12,602556
2015-09-15,Z,27.65,1745971
2015-09-16,Z,27.45,1229904
2015-09-17,Z,27.91,1120109
2015-09-18,Z,28.07,2974082
2015-09-21,Z,27.36,1084015
2015-09-22,Z,27.26,1014441
2015-09-23,Z,27.49,490193
2015-09-24,Z,27.26,677987
2015-09-25,Z,27.9,1277501
2015-09-28,Z,27.58,1530623
2015-09-29,Z,27.5,986951
2015-09-30,Z,27.0,1524845
2015-10-01,Z,26.11,1632852
2015-10-02,Z,26.56,1115184
2015-10-05,Z,27.12,515623
2015-10-06,Z,28.55,1142755
2015-10-07,Z,29.99,976710
2015-10-08,Z,31.6,2383455
2015-10-09,Z,33.45,2462943
2015-10-12,Z,32.0,1386735
2015-10-13,Z,31.65,1065968
2015-10-14,Z,31.87,790025
2015-10-15,Z,31.15,1157499
2015-10-16,Z,30.45,1238155
2015-10-19,Z,30.66,851986
2015-10-20,Z,31.16,613345
2015-10-21,Z,29.89,1368779
2015-10-22,Z,29.95,991169
2015-10-23,Z,29.99,539663
2015-10-26,Z,29.43,1001490
2015-10-27,Z,28.46,1659573
2015-10-28,Z,28.23,1210996
2015-10-29,Z,27.57,960940
2015-10-30,Z,27.69,1850888
2015-11-02,Z,28.46,2002442
2015-11-03,Z,29.5,3770217
2015-11-04,Z,27.65,6257666
2015-11-05,Z,25.79,2527250
2015-11-06,Z,25.48,1946046
2015-11-09,Z,25.3,791997
2015-11-10,Z,24.4,1747839
2015-11-11,Z,24.36,840399
2015-11-12,Z,23.79,1118698
2015-11-13,Z,23.27,1078477
2015-11-16,Z,23.73,766916
2015-11-17,Z,24.71,1363004
2015-11-18,Z,25.28,758364
2015-11-19,Z,25.23,654741
2015-11-20,Z,25.29,625917
2015-11-23,Z,24.48,929278
2015-11-24,Z,24.81,508108
2015-11-25,Z,24.94,605745
2015-11-27,Z,24.55,272434
2015-11-30,Z,24.65,1432208
2015-12-01,Z,24.1,1206740
2015-12-02,Z,24.65,675788
2015-12-03,Z,24.5,789746
2015-12-04,Z,24.66,663392
2015-12-07,Z,24.95,841199
2015-12-08,Z,24.71,1155026
2015-12-09,Z,23.57,1805787
2015-12-10,Z,23.46,1114835
2015-12-11,Z,23.28,1495299
2015-12-14,Z,23.55,1106488
2015-12-15,Z,24.56,1739462
2015-12-16,Z,25.46,1390931
2015-12-17,Z,24.43,1359971
2015-12-18,Z,24.61,1107925
2015-12-21,Z,24.09,915936
2015-12-22,Z,23.95,847144
2015-12-23,Z,24.08,978247
2015-12-24,Z,24.41,297520
2015-12-28,Z,23.95,345334
2015-12-29,Z,24.17,526604
2015-12-30,Z,24.24,538016
2015-12-31,Z,23.48,1046705
2016-01-04,Z,22.11,1504418
2016-01-05,Z,21.99,1252559
2016-01-06,Z,21.96,1089099
2016-01-07,Z,21.5,1178916
2016-01-08,Z,22.1,1056597
2016-01-11,Z,22.16,1214551
2016-01-12,Z,22.34,1225963
2016-01-13,Z,21.45,2379424
2016-01-14,Z,20.77,2616219
2016-01-15,Z,20.83,3363411
2016-01-19,Z,20.67,3169035
2016-01-20,Z,19.53,2846224
2016-01-21,Z,18.94,2048175
2016-01-22,Z,20.18,1688923
2016-01-25,Z,19.75,1191184
2016-01-26,Z,20.12,2062784
2016-01-27,Z,19.65,990006
2016-01-28,Z,19.5,1376321
2016-01-29,Z,20.5,1329136
2016-02-01,Z,19.25,2040507
2016-02-02,Z,17.92,1385903
2016-02-03,Z,17.65,1602976
2016-02-04,Z,18.43,1819816
2016-02-05,Z,16.92,3164870
2016-02-08,Z,16.01,4617914
2016-02-09,Z,16.2,3074268
2016-02-10,Z,16.78,1989849
2016-02-11,Z,17.97,5015917
2016-02-12,Z,17.81,6570097
2016-02-16,Z,18.83,2666363
2016-02-17,Z,19.38,1829066
2016-02-18,Z,19.55,1984335
2016-02-19,Z,20.31,1798339
2016-02-22,Z,20.0,2619281
2016-02-23,Z,20.77,2906707
2016-02-24,Z,20.2,2010628
2016-02-25,Z,21.0,1736174
2016-02-26,Z,21.01,1594855
2016-02-29,Z,21.6,2391478
2016-03-01,Z,21.46,2240890
2016-03-02,Z,22.38,1622175
2016-03-03,Z,23.37,2311451
2016-03-04,Z,23.28,1244364
2016-03-07,Z,23.55,1180736
2016-03-08,Z,24.27,1592757
2016-03-09,Z,22.44,2080948
2016-03-10,Z,22.52,1141827
2016-03-11,Z,23.08,746568
2016-03-14,Z,22.87,638790
2016-03-15,Z,21.81,1096444
2016-03-16,Z,22.77,600160
2016-03-17,Z,22.2,814575
2016-03-18,Z,22.32,1313472
2016-03-21,Z,22.76,834766
2016-03-22,Z,23.02,2375681
2016-03-23,Z,22.36,1537451
2016-03-24,Z,22.53,845662
2016-03-28,Z,22.41,716550
2016-03-29,Z,23.34,1281413
2016-03-30,Z,23.05,773703
2016-03-31,Z,23.73,1458257
2016-04-01,Z,23.45,1407518
2016-04-04,Z,22.09,1439198
2016-04-05,Z,21.08,2099760
2016-04-06,Z,21.26,2289037
2016-04-07,Z,20.73,1341206
2016-04-08,Z,21.09,1792601
2016-04-11,Z,19.94,1359693
2016-04-12,Z,20.68,1021077
2016-04-13,Z,21.63,658752
2016-04-14,Z,21.63,824718
2016-04-15,Z,21.85,407060
2016-04-18,Z,21.62,601943
2016-04-19,Z,22.28,810725
2016-04-20,Z,23.24,1639403
2016-04-21,Z,23.33,788926
2016-04-22,Z,24.85,2168400
2016-04-25,Z,24.86,1040564
2016-04-26,Z,24.85,2519109
2016-04-27,Z,24.74,1031082
2016-04-28,Z,23.98,874966
2016-04-29,Z,24.04,1448728
2016-05-02,Z,25.09,1898709
2016-05-03,Z,25.06,3474756
2016-05-04,Z,28.08,8376462
2016-05-05,Z,26.72,2680475
2016-05-06,Z,26.63,1395541
2016-05-09,Z,26.49,807842
2016-05-10,Z,27.19,1021923
2016-05-11,Z,27.24,542863
2016-05-12,Z,27.61,634089
